Epoch,Cost,Baseline,Best
0,46806.4928,44278.14,46806.4928
1,62830.0,42153.2016,46806.4928
2,55514.0,43088.389599999995,46806.4928
3,58182.5616,43088.389599999995,46806.4928
4,56213.7,43088.389599999995,46806.4928
5,48811.5,43088.389599999995,46806.4928
6,47140.8568,43088.389599999995,46806.4928
7,40533.928,43088.389599999995,40533.928
8,42474.6864,43088.389599999995,40533.928
9,58671.8504,33382.8656,40533.928
10,42069.6904,32124.396,40533.928
11,49010.6728,31719.1776,40533.928
12,33204.7016,31719.1776,33204.7016
13,32817.1848,47922.14,32817.1848
14,30255.685599999997,49331.623999999996,30255.685599999997
15,26618.656799999997,49628.623999999996,26618.656799999997
16,26618.656799999997,52636.2872,26618.656799999997
17,26618.656799999997,46858.6232,26618.656799999997
18,33055.1848,47922.14,26618.656799999997
19,33204.7016,31719.1776,26618.656799999997
20,40695.2384,31719.1776,26618.656799999997
21,31719.1776,31719.1776,26618.656799999997
22,40743.928,31719.1776,26618.656799999997
23,43781.3264,35267.8256,26618.656799999997
24,54425.524,30812.5464,26618.656799999997
25,52814.772,27680.6776,26618.656799999997
26,53317.4112,26902.3632,26618.656799999997
27,53317.4112,27929.3912,26618.656799999997
28,43781.3264,31839.5936,26618.656799999997
29,43847.6904,33520.5568,26618.656799999997
30,42996.210399999996,36676.105599999995,26618.656799999997
31,39163.3112,37495.759999999995,26618.656799999997
32,40743.928,31719.1776,26618.656799999997
33,39228.2512,36534.272,26618.656799999997
34,43607.6904,27366.484,26618.656799999997
35,44887.3264,34193.8392,26618.656799999997
36,53317.4112,38157.3376,26618.656799999997
37,53317.4112,38157.3376,26618.656799999997
38,52814.772,38162.609599999996,26618.656799999997
39,59317.496,37171.0608,26618.656799999997
40,60928.248,35812.8128,26618.656799999997
41,60928.248,35856.8128,26618.656799999997
42,60657.5616,35856.8128,26618.656799999997
43,60675.5616,38072.4256,26618.656799999997
44,60928.248,38855.4168,26618.656799999997
45,53989.9344,32102.0136,26618.656799999997
46,52814.772,35105.6376,26618.656799999997
47,53317.4112,36443.4592,26618.656799999997
48,52992.6272,38638.3952,26618.656799999997
49,45641.9168,34770.9856,26618.656799999997
50,43781.3264,38824.2384,26618.656799999997
51,43781.3264,38824.2384,26618.656799999997
52,43781.3264,38824.2384,26618.656799999997
53,43781.3264,38824.2384,26618.656799999997
54,52498.6272,38824.2384,26618.656799999997
55,53317.4112,39551.2384,26618.656799999997
56,53317.4112,39575.4592,26618.656799999997
57,52814.772,40250.4592,26618.656799999997
58,53989.9344,34326.272,26618.656799999997
59,54008.248,37555.6264,26618.656799999997
60,60928.248,34326.272,26618.656799999997
61,60657.5616,34326.272,26618.656799999997
62,60657.5616,43815.7184,26618.656799999997
63,61028.5616,43421.7184,26618.656799999997
64,61028.5616,43421.7184,26618.656799999997
65,61028.5616,41218.28,26618.656799999997
66,61028.5616,43421.7184,26618.656799999997
67,61028.5616,43421.7184,26618.656799999997
68,61028.5616,43421.7184,26618.656799999997
69,61028.5616,43421.7184,26618.656799999997
70,61028.5616,43421.7184,26618.656799999997
71,61028.5616,43421.7184,26618.656799999997
72,54631.412,36189.816,26618.656799999997
73,40963.6904,31719.1776,26618.656799999997
74,40331.928,31719.1776,26618.656799999997
75,42887.8656,31719.1776,26618.656799999997
76,43615.96,31719.1776,26618.656799999997
77,42436.6864,31719.1776,26618.656799999997
78,31919.7016,43088.389599999995,26618.656799999997
79,42887.8656,43088.389599999995,26618.656799999997
80,42887.8656,43088.389599999995,26618.656799999997
81,42887.8656,43088.389599999995,26618.656799999997
82,42887.8656,43088.389599999995,26618.656799999997
83,42887.8656,43088.389599999995,26618.656799999997
84,42887.8656,43088.389599999995,26618.656799999997
85,42887.8656,43088.389599999995,26618.656799999997
86,42887.8656,43088.389599999995,26618.656799999997
87,31919.7016,43088.389599999995,26618.656799999997
88,33204.7016,42983.14,26618.656799999997
89,42887.8656,43088.389599999995,26618.656799999997
90,42887.8656,43088.389599999995,26618.656799999997
91,42887.8656,40126.8656,26618.656799999997
92,42887.8656,40126.8656,26618.656799999997
93,43615.96,40126.8656,26618.656799999997
94,43168.96,40126.8656,26618.656799999997
95,43168.96,35302.8256,26618.656799999997
96,43168.96,36211.8256,26618.656799999997
97,43612.5136,35296.96,26618.656799999997
98,40775.4816,35296.96,26618.656799999997
99,46477.5072,28440.153599999998,26618.656799999997
100,63828.5744,28299.54,26618.656799999997
101,67989.9344,39343.2128,26618.656799999997
102,63333.8504,43088.389599999995,26618.656799999997
103,74146.1648,43088.389599999995,26618.656799999997
104,74146.1648,43088.389599999995,26618.656799999997
105,74146.1648,43088.389599999995,26618.656799999997
106,74146.1648,43088.389599999995,26618.656799999997
107,74146.1648,43088.389599999995,26618.656799999997
108,74146.1648,43088.389599999995,26618.656799999997
109,74146.1648,43088.389599999995,26618.656799999997
110,74146.1648,31719.1776,26618.656799999997
111,74146.1648,43088.389599999995,26618.656799999997
112,74146.1648,43088.389599999995,26618.656799999997
113,74146.1648,43088.389599999995,26618.656799999997
114,74146.1648,31719.1776,26618.656799999997
115,74146.1648,43088.389599999995,26618.656799999997
