node_id,x,y,raw_p_route,norm_prob,scaled_score
32,1150,1160,0.011718,0.023005882029575066,1.0
8,580,1175,0.011517,0.022611259885186554,0.93790546802595
9,650,1130,0.011388,0.02235799492684766,0.8980537534754406
7,525,1000,0.01092,0.021439173217525153,0.7534754402224281
42,875,920,0.010826,0.021254623557960376,0.7244362063639175
40,475,960,0.010784,0.021172165199431433,0.7114612295335189
18,510,875,0.010528,0.02066956187125502,0.6323756564720419
50,1340,725,0.010521,0.020655818811500196,0.6302131603336426
10,1605,620,0.010402,0.02042218679566819,0.5934507259808465
44,555,815,0.010359,0.02033776514288856,0.5801668211306766
3,945,685,0.010176,0.01997848229501245,0.5236329935125114
14,845,680,0.010106,0.019841051697464213,0.5020080321285142
2,345,750,0.010105,0.019839088403213523,0.5016991041087425
5,880,660,0.010069,0.019768409810188715,0.49057769539697244
11,1220,580,0.010039,0.01970951098266804,0.4813098548038305
4,845,655,0.010035,0.019701657805665285,0.4800741427247453
37,795,645,0.009977,0.019587786739125316,0.46215631757800424
39,760,650,0.009971,0.019576006973621184,0.46030274945937616
23,835,625,0.009944,0.019522998028852576,0.4519616929255482
31,575,665,0.009926,0.019487658732340173,0.4464009885696635
38,720,635,0.009907,0.019450356141577075,0.4405313561940065
24,975,580,0.009902,0.019440539670323633,0.4389867160951496
47,830,610,0.009899,0.019434649787571565,0.4380599320358356
36,770,610,0.009863,0.019363971194546758,0.42693852332406557
48,605,625,0.009824,0.01928740271876988,0.41489033055298097
35,685,610,0.009819,0.019277586247516434,0.41334569045412406
16,145,665,0.009817,0.019273659659015056,0.41272783441458116
34,685,595,0.009777,0.01919512788898749,0.4003707136237254
17,415,635,0.009775,0.019191201300486117,0.39975285758418305
33,700,580,0.009742,0.019126412590213377,0.3895582329317271
21,520,585,0.009673,0.018990945286915823,0.3682421995675005
0,565,575,0.009665,0.018975238932910313,0.36577077540932956
27,1250,400,0.009589,0.01882602856985794,0.34229224590670376
51,1740,245,0.009579,0.01880639562735105,0.33920296570898995
45,830,485,0.009557,0.018763203153835888,0.3324065492740189
30,420,555,0.009542,0.018733753740075552,0.32777262897744824
43,700,500,0.009522,0.018694487855061767,0.32159406858202005
26,1320,315,0.009428,0.018509938195496994,0.2925548347235095
12,1465,200,0.009256,0.018172251584378463,0.23941921532282978
20,300,465,0.009247,0.018154581936122263,0.23663886314488713
15,725,370,0.009201,0.018064270400590565,0.2224281742354033
25,1215,245,0.009193,0.018048564046585048,0.2199567500772318
22,480,415,0.009189,0.01804071086958229,0.21872103799814607
49,595,360,0.009107,0.017879720741025788,0.19338894037689222
19,560,365,0.009101,0.01786794097552165,0.19153537225826361
13,1530,5,0.008908,0.01748902518513865,0.13191226444238455
46,1170,65,0.008761,0.01720042093028735,0.08649984553598984
29,410,250,0.008733,0.017145448691268054,0.07784986098239076
28,660,180,0.008706,0.01709243974649945,0.06950880444856336
41,95,260,0.008676,0.017033540918978775,0.0602409638554214
6,25,230,0.008598,0.016880403967425024,0.03614457831325273
1,25,185,0.008481,0.016650698540094398,0.0
