Epoch,Cost,Baseline,Best
0,57226.051999999996,100000.0,57226.051999999996
1,23767.884,24146.1648,23767.884
2,24146.1648,24146.1648,23767.884
3,23298.4512,24146.1648,23298.4512
4,24146.1648,24146.1648,23298.4512
5,24146.1648,24146.1648,23298.4512
6,24146.1648,24146.1648,23298.4512
7,24146.1648,24146.1648,23298.4512
8,23767.884,24146.1648,23298.4512
9,24146.1648,24146.1648,23298.4512
10,24146.1648,24146.1648,23298.4512
11,41908.318400000004,24146.1648,23298.4512
12,23804.3448,24146.1648,23298.4512
13,24146.1648,24146.1648,23298.4512
14,24146.1648,24146.1648,23298.4512
15,24146.1648,24146.1648,23298.4512
16,23767.884,24146.1648,23298.4512
17,24146.1648,24146.1648,23298.4512
18,24146.1648,24146.1648,23298.4512
19,24146.1648,24146.1648,23298.4512
20,24146.1648,24146.1648,23298.4512
21,24146.1648,24146.1648,23298.4512
22,24146.1648,24146.1648,23298.4512
23,24146.1648,24146.1648,23298.4512
24,24146.1648,24146.1648,23298.4512
25,24146.1648,24146.1648,23298.4512
26,24146.1648,24146.1648,23298.4512
27,24146.1648,24146.1648,23298.4512
28,24146.1648,24146.1648,23298.4512
29,24146.1648,24146.1648,23298.4512
30,24146.1648,24146.1648,23298.4512
31,24146.1648,24146.1648,23298.4512
32,24146.1648,24146.1648,23298.4512
33,24146.1648,24146.1648,23298.4512
34,24146.1648,24146.1648,23298.4512
35,24146.1648,24146.1648,23298.4512
36,24146.1648,24146.1648,23298.4512
37,24146.1648,24146.1648,23298.4512
38,24146.1648,24146.1648,23298.4512
39,24146.1648,24146.1648,23298.4512
40,24146.1648,24146.1648,23298.4512
41,24146.1648,24146.1648,23298.4512
42,24146.1648,24146.1648,23298.4512
43,24146.1648,24146.1648,23298.4512
44,24146.1648,24146.1648,23298.4512
45,24146.1648,24146.1648,23298.4512
46,24146.1648,24146.1648,23298.4512
47,24146.1648,24146.1648,23298.4512
48,24146.1648,24146.1648,23298.4512
49,24146.1648,24146.1648,23298.4512
50,24146.1648,24146.1648,23298.4512
51,24146.1648,24146.1648,23298.4512
52,24146.1648,24146.1648,23298.4512
53,24146.1648,24146.1648,23298.4512
54,24146.1648,24146.1648,23298.4512
55,24146.1648,24146.1648,23298.4512
56,24146.1648,24146.1648,23298.4512
57,123950.188,24146.1648,23298.4512
58,24146.1648,24146.1648,23298.4512
59,24146.1648,24146.1648,23298.4512
60,24146.1648,24146.1648,23298.4512
61,24146.1648,24146.1648,23298.4512
62,24146.1648,24146.1648,23298.4512
63,24146.1648,24146.1648,23298.4512
64,24146.1648,24146.1648,23298.4512
65,24146.1648,24146.1648,23298.4512
66,24146.1648,24146.1648,23298.4512
67,24146.1648,24146.1648,23298.4512
68,24146.1648,24146.1648,23298.4512
69,23799.7872,24146.1648,23298.4512
70,24146.1648,24146.1648,23298.4512
71,24146.1648,24146.1648,23298.4512
72,24146.1648,24146.1648,23298.4512
73,24146.1648,24146.1648,23298.4512
74,24146.1648,24146.1648,23298.4512
75,24146.1648,24146.1648,23298.4512
76,24146.1648,24146.1648,23298.4512
77,24146.1648,24146.1648,23298.4512
78,24146.1648,24146.1648,23298.4512
79,24146.1648,24146.1648,23298.4512
80,24146.1648,24146.1648,23298.4512
81,24146.1648,24146.1648,23298.4512
82,24146.1648,24146.1648,23298.4512
83,24146.1648,24146.1648,23298.4512
84,24146.1648,24146.1648,23298.4512
85,24146.1648,24146.1648,23298.4512
86,24146.1648,24146.1648,23298.4512
87,24146.1648,24146.1648,23298.4512
88,24146.1648,24146.1648,23298.4512
89,24146.1648,24146.1648,23298.4512
90,29024.4744,24146.1648,23298.4512
91,24146.1648,24146.1648,23298.4512
92,24146.1648,24146.1648,23298.4512
93,24146.1648,24146.1648,23298.4512
94,24146.1648,24146.1648,23298.4512
95,24146.1648,24146.1648,23298.4512
96,24146.1648,24146.1648,23298.4512
97,24146.1648,24146.1648,23298.4512
98,24146.1648,24146.1648,23298.4512
99,24146.1648,24146.1648,23298.4512
100,24146.1648,24146.1648,23298.4512
101,24146.1648,24146.1648,23298.4512
102,24146.1648,24146.1648,23298.4512
103,24146.1648,24146.1648,23298.4512
