Epoch,Cost,Baseline,Best
0,49726.8512,24146.1648,49726.8512
1,61756.0,62860.0,49726.8512
2,62860.0,62860.0,49726.8512
3,70381.0,62860.0,49726.8512
4,62860.0,62860.0,49726.8512
5,63527.0,62860.0,49726.8512
6,62860.0,62860.0,49726.8512
7,62860.0,62860.0,49726.8512
8,62860.0,62860.0,49726.8512
9,62860.0,62860.0,49726.8512
10,62860.0,62860.0,49726.8512
11,62860.0,62860.0,49726.8512
12,71511.6496,62860.0,49726.8512
13,62860.0,62860.0,49726.8512
14,62860.0,62860.0,49726.8512
15,62860.0,62860.0,49726.8512
16,62860.0,62860.0,49726.8512
17,62158.82,62860.0,49726.8512
18,62860.0,62860.0,49726.8512
19,62860.0,62860.0,49726.8512
20,62860.0,62860.0,49726.8512
21,62860.0,62860.0,49726.8512
22,62860.0,62860.0,49726.8512
23,62860.0,62860.0,49726.8512
24,62860.0,62860.0,49726.8512
25,62860.0,62860.0,49726.8512
26,62860.0,62860.0,49726.8512
27,62860.0,62860.0,49726.8512
28,62860.0,62860.0,49726.8512
29,62860.0,62860.0,49726.8512
30,61645.916,62860.0,49726.8512
31,62860.0,62860.0,49726.8512
32,62860.0,62860.0,49726.8512
33,62860.0,62860.0,49726.8512
34,62860.0,62860.0,49726.8512
35,62860.0,62860.0,49726.8512
36,62860.0,62860.0,49726.8512
37,62822.336,62860.0,49726.8512
38,62860.0,62860.0,49726.8512
39,62869.9216,62860.0,49726.8512
40,61202.0,62860.0,49726.8512
41,62860.0,62860.0,49726.8512
42,62860.0,62860.0,49726.8512
43,62860.0,62860.0,49726.8512
44,62667.9392,62860.0,49726.8512
45,62860.0,62860.0,49726.8512
46,62860.0,62860.0,49726.8512
47,62860.0,62860.0,49726.8512
48,62860.0,62860.0,49726.8512
49,62860.0,62860.0,49726.8512
50,62766.7096,62860.0,49726.8512
51,62860.0,62860.0,49726.8512
52,62860.0,62860.0,49726.8512
53,62860.0,62860.0,49726.8512
54,62794.032,62860.0,49726.8512
55,62860.0,62860.0,49726.8512
56,62867.456,62860.0,49726.8512
57,62860.0,62860.0,49726.8512
58,62860.0,62860.0,49726.8512
59,62860.0,62860.0,49726.8512
60,62860.0,62860.0,49726.8512
61,62860.0,62860.0,49726.8512
62,62860.0,62860.0,49726.8512
63,62860.0,62860.0,49726.8512
64,62860.0,62860.0,49726.8512
65,62966.94,62860.0,49726.8512
66,62860.0,62860.0,49726.8512
67,72097.792,62860.0,49726.8512
68,62860.0,62860.0,49726.8512
69,62860.0,62860.0,49726.8512
70,62860.0,62860.0,49726.8512
71,62860.0,62860.0,49726.8512
72,62860.0,62860.0,49726.8512
73,62860.0,62860.0,49726.8512
74,62860.0,62860.0,49726.8512
75,62860.0,62860.0,49726.8512
76,62860.0,62860.0,49726.8512
77,62860.0,62860.0,49726.8512
78,62860.0,62860.0,49726.8512
79,62860.0,62860.0,49726.8512
80,62860.0,62860.0,49726.8512
81,62860.0,62860.0,49726.8512
82,62860.0,62860.0,49726.8512
83,62860.0,62860.0,49726.8512
84,56473.0,62860.0,49726.8512
85,62860.0,62860.0,49726.8512
86,62860.0,62860.0,49726.8512
87,62860.0,62860.0,49726.8512
88,62860.0,62860.0,49726.8512
89,62860.0,62860.0,49726.8512
90,62737.0,62860.0,49726.8512
91,61383.0,62860.0,49726.8512
92,62793.0,62860.0,49726.8512
93,55007.0,62860.0,49726.8512
94,71525.0,62860.0,49726.8512
95,54558.0,62860.0,49726.8512
96,57648.0,62860.0,49726.8512
97,62043.0,62860.0,49726.8512
98,62111.0,62860.0,49726.8512
99,62706.0,62860.0,49726.8512
100,63028.0,62860.0,49726.8512
101,60413.9768,62860.0,49726.8512
