Epoch,Cost,Baseline,Best
0,46351.4352,42950.0304,46351.4352
1,74146.1648,46178.8128,46351.4352
2,35045.4256,44278.14,35045.4256
3,74146.1648,43796.952,35045.4256
4,26987.388799999997,45193.6568,26987.388799999997
5,48014.278399999996,42950.0304,26987.388799999997
6,51410.9256,43964.389599999995,26987.388799999997
7,51620.9456,43964.389599999995,26987.388799999997
8,54369.1336,43964.389599999995,26987.388799999997
9,48259.432799999995,43964.389599999995,26987.388799999997
10,32812.9232,42153.2016,26987.388799999997
11,44284.392,43088.389599999995,26987.388799999997
12,30365.5696,43088.389599999995,26987.388799999997
13,37547.3544,43088.389599999995,26987.388799999997
14,44093.879199999996,43088.389599999995,26987.388799999997
15,34732.818400000004,43088.389599999995,26987.388799999997
16,74146.1648,43088.389599999995,26987.388799999997
17,32020.266399999997,43088.389599999995,26987.388799999997
18,38167.3016,43088.389599999995,26987.388799999997
19,41016.3296,43088.389599999995,26987.388799999997
20,48501.9008,43088.389599999995,26987.388799999997
21,33071.6416,31719.1776,26987.388799999997
22,49574.8928,31719.1776,26987.388799999997
23,41562.9352,31719.1776,26987.388799999997
24,35771.9984,31719.1776,26987.388799999997
25,44162.2752,31719.1776,26987.388799999997
26,47051.0512,31719.1776,26987.388799999997
27,37999.4896,31719.1776,26987.388799999997
28,36018.66559999999,31719.1776,26987.388799999997
29,31568.5592,31719.1776,26987.388799999997
30,23519.8032,31719.1776,23519.8032
31,29837.3952,31719.1776,23519.8032
32,28947.675199999998,31719.1776,23519.8032
33,46239.5288,31719.1776,23519.8032
34,23551.631999999998,31719.1776,23519.8032
35,28909.1096,31719.1776,23519.8032
36,38144.7544,31719.1776,23519.8032
37,34990.6072,31719.1776,23519.8032
38,34228.6248,31719.1776,23519.8032
39,40958.044,31719.1776,23519.8032
40,41207.4992,31719.1776,23519.8032
41,38069.080799999996,31719.1776,23519.8032
42,44717.3232,31719.1776,23519.8032
43,38383.4048,31719.1776,23519.8032
44,35044.4576,31719.1776,23519.8032
45,41881.8976,31719.1776,23519.8032
46,34600.344,31719.1776,23519.8032
47,33881.7448,31719.1776,23519.8032
48,47366.028,31719.1776,23519.8032
49,41325.368,31719.1776,23519.8032
50,24583.6096,31719.1776,23519.8032
51,38555.936,31719.1776,23519.8032
52,42900.4648,31719.1776,23519.8032
53,28810.14,31719.1776,23519.8032
54,33653.3664,31719.1776,23519.8032
55,40449.7488,31719.1776,23519.8032
56,42524.6608,31719.1776,23519.8032
57,42316.123999999996,31719.1776,23519.8032
58,36554.2008,31719.1776,23519.8032
59,41155.7904,31719.1776,23519.8032
60,40049.4152,31719.1776,23519.8032
61,37523.4752,31719.1776,23519.8032
62,45749.6416,31719.1776,23519.8032
63,41981.9648,31719.1776,23519.8032
64,30057.2752,31719.1776,23519.8032
65,36388.2656,31719.1776,23519.8032
66,25422.117599999998,31719.1776,23519.8032
67,45793.9168,31719.1776,23519.8032
68,45978.710399999996,31719.1776,23519.8032
69,38427.5976,31719.1776,23519.8032
70,32564.7496,31719.1776,23519.8032
71,30018.0752,31719.1776,23519.8032
72,42030.9704,31719.1776,23519.8032
73,33659.0128,31719.1776,23519.8032
74,22885.9368,31719.1776,22885.9368
75,41061.148,31719.1776,22885.9368
76,41908.9312,31719.1776,22885.9368
77,27875.8912,31719.1776,22885.9368
78,30636.1776,31719.1776,22885.9368
79,30675.820799999998,31719.1776,22885.9368
80,25140.244,31719.1776,22885.9368
81,29718.685599999997,31719.1776,22885.9368
82,38906.4736,31719.1776,22885.9368
83,30204.4152,31719.1776,22885.9368
84,31510.7016,31719.1776,22885.9368
85,35537.1416,38954.2384,22885.9368
86,47978.5592,29940.081599999998,22885.9368
87,43084.5488,30742.8304,22885.9368
88,45283.9416,33302.1352,22885.9368
89,45137.1464,36092.9928,22885.9368
90,24236.835199999998,35138.9208,22885.9368
91,34387.8808,35138.9208,22885.9368
92,41323.344,35138.9208,22885.9368
93,31642.4208,38339.6456,22885.9368
94,40683.5264,38339.6456,22885.9368
95,46566.9592,35138.9208,22885.9368
96,51451.4688,35571.0888,22885.9368
97,37643.047999999995,35138.9208,22885.9368
98,55618.5312,35571.0888,22885.9368
99,48222.444,35571.0888,22885.9368
100,51591.4984,35571.0888,22885.9368
101,41197.5864,35571.0888,22885.9368
102,54462.3024,35571.0888,22885.9368
103,50402.324,35571.0888,22885.9368
104,46981.8544,37836.623999999996,22885.9368
105,32435.356,37836.623999999996,22885.9368
106,53264.0944,37836.623999999996,22885.9368
107,40226.7448,37836.623999999996,22885.9368
108,35275.628,37836.623999999996,22885.9368
109,45414.0936,37836.623999999996,22885.9368
110,41320.9896,37836.623999999996,22885.9368
111,39304.1176,37200.092,22885.9368
112,41145.6328,37200.092,22885.9368
113,37013.4208,37200.092,22885.9368
114,35797.0704,37200.092,22885.9368
115,37232.3304,37820.852,22885.9368
116,49003.1512,37820.852,22885.9368
117,39574.4744,37820.852,22885.9368
118,42034.9376,37820.852,22885.9368
119,39482.3528,37820.852,22885.9368
120,39867.379199999996,37820.852,22885.9368
121,33413.019199999995,37820.852,22885.9368
122,36024.803199999995,37820.852,22885.9368
123,74146.1648,37820.852,22885.9368
124,35367.831999999995,37820.852,22885.9368
125,37040.4752,37820.852,22885.9368
126,42086.029599999994,37820.852,22885.9368
127,46397.4136,37820.852,22885.9368
128,36614.4712,37820.852,22885.9368
129,31654.1264,37820.852,22885.9368
130,40974.144,37820.852,22885.9368
131,39034.4112,37820.852,22885.9368
132,48258.1688,37820.852,22885.9368
133,44749.3088,37820.852,22885.9368
134,40416.4352,37820.852,22885.9368
135,31628.584,37820.852,22885.9368
136,43944.064,37820.852,22885.9368
137,38943.4112,37820.852,22885.9368
138,25411.5592,37820.852,22885.9368
139,28032.0536,37820.852,22885.9368
140,29952.34,37820.852,22885.9368
141,40592.2936,37820.852,22885.9368
142,28947.423199999997,37820.852,22885.9368
143,44790.537599999996,37820.852,22885.9368
144,49776.634399999995,37820.852,22885.9368
145,33522.8336,37820.852,22885.9368
146,31778.068,37820.852,22885.9368
147,30960.8648,37820.852,22885.9368
148,38772.2808,37820.852,22885.9368
149,45226.105599999995,37465.996,22885.9368
150,38793.4848,37465.996,22885.9368
151,33467.1752,37465.996,22885.9368
152,29851.865599999997,37820.852,22885.9368
153,31968.277599999998,37820.852,22885.9368
154,36993.78,37820.852,22885.9368
155,32076.528,37820.852,22885.9368
156,33508.735199999996,37820.852,22885.9368
157,74146.1648,37820.852,22885.9368
158,49451.9208,37820.852,22885.9368
159,36230.2944,37820.852,22885.9368
160,41290.407999999996,37820.852,22885.9368
161,33856.5696,37820.852,22885.9368
162,37994.8112,37820.852,22885.9368
163,32978.2528,37820.852,22885.9368
164,35092.7216,37820.852,22885.9368
165,38786.328,37820.852,22885.9368
166,31498.0088,37465.996,22885.9368
167,37824.716,37465.996,22885.9368
168,46667.4776,37465.996,22885.9368
169,37120.7472,33947.996,22885.9368
170,53044.128,37465.996,22885.9368
171,34846.1504,37465.996,22885.9368
172,23176.8912,37820.852,22885.9368
173,28552.4544,37820.852,22885.9368
174,31752.291999999998,37820.852,22885.9368
175,33274.1184,37820.852,22885.9368
176,39712.0632,37820.852,22885.9368
177,38954.5992,37820.852,22885.9368
178,38355.1048,37465.996,22885.9368
179,30477.8648,37465.996,22885.9368
180,29735.876,37465.996,22885.9368
181,33056.432799999995,37465.996,22885.9368
