Epoch,Cost,Baseline,Best
0,54454.9856,62860.0,54454.9856
1,42010.152,24146.1648,42010.152
2,24146.1648,24146.1648,24146.1648
3,24146.1648,24146.1648,24146.1648
4,24146.1648,24146.1648,24146.1648
5,37289.7328,24146.1648,24146.1648
6,24146.1648,24146.1648,24146.1648
7,24146.1648,24146.1648,24146.1648
8,24146.1648,24146.1648,24146.1648
9,24146.1648,24146.1648,24146.1648
10,24146.1648,24146.1648,24146.1648
11,24146.1648,24146.1648,24146.1648
12,24146.1648,24146.1648,24146.1648
13,24146.1648,24146.1648,24146.1648
14,24146.1648,24146.1648,24146.1648
15,24146.1648,24146.1648,24146.1648
16,24146.1648,24146.1648,24146.1648
17,24146.1648,24146.1648,24146.1648
18,24146.1648,24146.1648,24146.1648
19,24146.1648,24146.1648,24146.1648
20,24146.1648,24146.1648,24146.1648
21,24146.1648,24146.1648,24146.1648
22,24146.1648,24146.1648,24146.1648
23,24146.1648,24146.1648,24146.1648
24,24146.1648,24146.1648,24146.1648
25,24146.1648,24146.1648,24146.1648
26,24146.1648,24146.1648,24146.1648
27,24146.1648,24146.1648,24146.1648
28,24146.1648,24146.1648,24146.1648
29,24146.1648,24146.1648,24146.1648
30,24146.1648,24146.1648,24146.1648
31,24146.1648,24146.1648,24146.1648
32,24146.1648,24146.1648,24146.1648
33,24146.1648,24146.1648,24146.1648
34,24146.1648,24146.1648,24146.1648
35,24146.1648,24146.1648,24146.1648
36,24146.1648,24146.1648,24146.1648
37,24146.1648,24146.1648,24146.1648
38,24146.1648,24146.1648,24146.1648
39,24146.1648,24146.1648,24146.1648
40,24146.1648,24146.1648,24146.1648
41,24146.1648,24146.1648,24146.1648
42,24146.1648,24146.1648,24146.1648
43,24146.1648,24146.1648,24146.1648
44,24146.1648,24146.1648,24146.1648
45,24146.1648,24146.1648,24146.1648
46,24146.1648,24146.1648,24146.1648
47,24146.1648,24146.1648,24146.1648
48,24146.1648,24146.1648,24146.1648
49,24146.1648,24146.1648,24146.1648
50,24146.1648,24146.1648,24146.1648
51,24146.1648,24146.1648,24146.1648
52,24146.1648,24146.1648,24146.1648
53,24146.1648,24146.1648,24146.1648
54,24146.1648,24146.1648,24146.1648
55,24146.1648,24146.1648,24146.1648
56,24146.1648,24146.1648,24146.1648
57,24146.1648,24146.1648,24146.1648
58,24146.1648,24146.1648,24146.1648
59,24146.1648,24146.1648,24146.1648
60,24146.1648,24146.1648,24146.1648
61,24146.1648,24146.1648,24146.1648
62,24146.1648,24146.1648,24146.1648
63,24146.1648,24146.1648,24146.1648
64,24146.1648,24146.1648,24146.1648
65,24146.1648,24146.1648,24146.1648
66,24146.1648,24146.1648,24146.1648
67,24146.1648,24146.1648,24146.1648
68,24146.1648,24146.1648,24146.1648
69,24146.1648,24146.1648,24146.1648
70,24146.1648,24146.1648,24146.1648
71,24146.1648,24146.1648,24146.1648
72,24146.1648,24146.1648,24146.1648
73,24146.1648,24146.1648,24146.1648
74,24146.1648,24146.1648,24146.1648
75,24146.1648,24146.1648,24146.1648
76,24146.1648,24146.1648,24146.1648
77,24146.1648,24146.1648,24146.1648
78,24146.1648,24146.1648,24146.1648
79,24146.1648,24146.1648,24146.1648
80,24146.1648,24146.1648,24146.1648
81,24146.1648,24146.1648,24146.1648
82,24146.1648,24146.1648,24146.1648
83,24146.1648,24146.1648,24146.1648
84,24146.1648,24146.1648,24146.1648
85,24146.1648,24146.1648,24146.1648
86,24146.1648,24146.1648,24146.1648
87,24146.1648,24146.1648,24146.1648
88,24146.1648,24146.1648,24146.1648
89,24146.1648,24146.1648,24146.1648
90,24146.1648,24146.1648,24146.1648
91,24146.1648,24146.1648,24146.1648
92,24146.1648,24146.1648,24146.1648
93,24146.1648,24146.1648,24146.1648
94,24146.1648,24146.1648,24146.1648
95,23303.0088,24146.1648,23303.0088
96,24146.1648,24146.1648,23303.0088
97,24146.1648,24146.1648,23303.0088
98,24146.1648,24146.1648,23303.0088
99,24146.1648,24146.1648,23303.0088
100,24146.1648,24146.1648,23303.0088
101,24146.1648,24146.1648,23303.0088
102,24146.1648,24146.1648,23303.0088
103,24146.1648,24146.1648,23303.0088
104,24146.1648,24146.1648,23303.0088
105,24146.1648,24146.1648,23303.0088
106,24146.1648,24146.1648,23303.0088
107,24146.1648,24146.1648,23303.0088
108,24146.1648,24146.1648,23303.0088
109,24146.1648,24146.1648,23303.0088
110,24146.1648,24146.1648,23303.0088
111,24146.1648,24146.1648,23303.0088
112,24146.1648,24146.1648,23303.0088
113,24146.1648,24146.1648,23303.0088
114,24146.1648,24146.1648,23303.0088
115,24146.1648,24146.1648,23303.0088
116,24146.1648,24146.1648,23303.0088
117,24146.1648,24146.1648,23303.0088
118,24146.1648,24146.1648,23303.0088
119,24146.1648,24146.1648,23303.0088
120,24146.1648,24146.1648,23303.0088
121,24146.1648,24146.1648,23303.0088
122,24146.1648,24146.1648,23303.0088
123,24146.1648,24146.1648,23303.0088
124,24146.1648,24146.1648,23303.0088
125,24146.1648,24146.1648,23303.0088
126,24146.1648,24146.1648,23303.0088
127,24146.1648,24146.1648,23303.0088
128,24146.1648,24146.1648,23303.0088
129,24146.1648,24146.1648,23303.0088
130,24146.1648,24146.1648,23303.0088
131,24146.1648,24146.1648,23303.0088
132,24146.1648,24146.1648,23303.0088
133,24146.1648,24146.1648,23303.0088
134,24146.1648,24146.1648,23303.0088
135,24146.1648,24146.1648,23303.0088
136,24146.1648,24146.1648,23303.0088
137,24146.1648,24146.1648,23303.0088
138,24146.1648,24146.1648,23303.0088
139,24146.1648,24146.1648,23303.0088
140,24146.1648,24146.1648,23303.0088
141,24146.1648,24146.1648,23303.0088
142,24146.1648,24146.1648,23303.0088
143,24146.1648,24146.1648,23303.0088
144,24146.1648,24146.1648,23303.0088
145,24146.1648,24146.1648,23303.0088
146,24146.1648,24146.1648,23303.0088
147,24146.1648,24146.1648,23303.0088
148,24146.1648,24146.1648,23303.0088
149,24146.1648,24146.1648,23303.0088
150,24146.1648,24146.1648,23303.0088
151,24146.1648,24146.1648,23303.0088
152,24146.1648,24146.1648,23303.0088
153,24146.1648,24146.1648,23303.0088
154,24146.1648,24146.1648,23303.0088
155,24146.1648,24146.1648,23303.0088
156,24146.1648,24146.1648,23303.0088
157,24146.1648,24146.1648,23303.0088
158,24146.1648,24146.1648,23303.0088
159,24146.1648,24146.1648,23303.0088
160,24146.1648,24146.1648,23303.0088
161,24146.1648,24146.1648,23303.0088
162,24146.1648,24146.1648,23303.0088
163,24146.1648,24146.1648,23303.0088
164,24146.1648,24146.1648,23303.0088
165,24146.1648,24146.1648,23303.0088
166,24146.1648,24146.1648,23303.0088
167,24146.1648,24146.1648,23303.0088
168,24146.1648,24146.1648,23303.0088
169,24146.1648,24146.1648,23303.0088
170,24146.1648,24146.1648,23303.0088
171,24146.1648,24146.1648,23303.0088
172,24146.1648,24146.1648,23303.0088
173,24146.1648,24146.1648,23303.0088
174,24146.1648,24146.1648,23303.0088
175,24146.1648,24146.1648,23303.0088
176,24146.1648,24146.1648,23303.0088
177,24146.1648,24146.1648,23303.0088
178,24146.1648,24146.1648,23303.0088
179,24146.1648,24146.1648,23303.0088
180,24146.1648,24146.1648,23303.0088
181,24146.1648,24146.1648,23303.0088
182,24146.1648,24146.1648,23303.0088
183,24146.1648,24146.1648,23303.0088
184,24146.1648,24146.1648,23303.0088
185,24146.1648,24146.1648,23303.0088
186,24146.1648,24146.1648,23303.0088
187,23207.299199999998,24146.1648,23207.299199999998
188,24146.1648,24146.1648,23207.299199999998
189,24146.1648,24146.1648,23207.299199999998
190,24146.1648,24146.1648,23207.299199999998
191,24146.1648,24146.1648,23207.299199999998
192,24146.1648,24146.1648,23207.299199999998
193,24146.1648,24146.1648,23207.299199999998
194,24146.1648,24146.1648,23207.299199999998
195,123316.6816,24146.1648,23207.299199999998
196,24146.1648,24146.1648,23207.299199999998
197,24146.1648,24146.1648,23207.299199999998
198,24146.1648,24146.1648,23207.299199999998
199,24146.1648,24146.1648,23207.299199999998
200,24146.1648,24146.1648,23207.299199999998
201,24146.1648,24146.1648,23207.299199999998
202,24146.1648,24146.1648,23207.299199999998
203,24146.1648,24146.1648,23207.299199999998
204,24146.1648,24146.1648,23207.299199999998
205,24146.1648,24146.1648,23207.299199999998
206,23986.6488,24146.1648,23207.299199999998
207,24146.1648,24146.1648,23207.299199999998
208,24146.1648,24146.1648,23207.299199999998
209,24146.1648,24146.1648,23207.299199999998
210,24146.1648,24146.1648,23207.299199999998
211,24146.1648,24146.1648,23207.299199999998
212,24146.1648,24146.1648,23207.299199999998
213,24146.1648,24146.1648,23207.299199999998
214,24146.1648,24146.1648,23207.299199999998
215,24146.1648,24146.1648,23207.299199999998
216,24146.1648,24146.1648,23207.299199999998
217,24146.1648,24146.1648,23207.299199999998
218,24146.1648,24146.1648,23207.299199999998
219,24146.1648,24146.1648,23207.299199999998
220,24146.1648,24146.1648,23207.299199999998
221,24146.1648,24146.1648,23207.299199999998
222,24146.1648,24146.1648,23207.299199999998
223,22482.640799999997,24146.1648,22482.640799999997
224,30915.456,24146.1648,22482.640799999997
225,24146.1648,24146.1648,22482.640799999997
226,24146.1648,24146.1648,22482.640799999997
227,24146.1648,24146.1648,22482.640799999997
228,24146.1648,24146.1648,22482.640799999997
229,24146.1648,24146.1648,22482.640799999997
230,24146.1648,24146.1648,22482.640799999997
231,24146.1648,24146.1648,22482.640799999997
232,24146.1648,24146.1648,22482.640799999997
233,24146.1648,24146.1648,22482.640799999997
234,24146.1648,24146.1648,22482.640799999997
235,24146.1648,24146.1648,22482.640799999997
236,24146.1648,24146.1648,22482.640799999997
237,24146.1648,24146.1648,22482.640799999997
238,24146.1648,24146.1648,22482.640799999997
239,24146.1648,24146.1648,22482.640799999997
240,24146.1648,24146.1648,22482.640799999997
241,24146.1648,24146.1648,22482.640799999997
242,24146.1648,24146.1648,22482.640799999997
243,24146.1648,24146.1648,22482.640799999997
244,24146.1648,24146.1648,22482.640799999997
245,24146.1648,24146.1648,22482.640799999997
246,24146.1648,24146.1648,22482.640799999997
247,24146.1648,24146.1648,22482.640799999997
248,24146.1648,24146.1648,22482.640799999997
249,24146.1648,24146.1648,22482.640799999997
250,24146.1648,24146.1648,22482.640799999997
251,24146.1648,24146.1648,22482.640799999997
252,24146.1648,24146.1648,22482.640799999997
253,24146.1648,24146.1648,22482.640799999997
254,24146.1648,24146.1648,22482.640799999997
255,24146.1648,24146.1648,22482.640799999997
256,24146.1648,24146.1648,22482.640799999997
257,24146.1648,24146.1648,22482.640799999997
258,24146.1648,24146.1648,22482.640799999997
259,24146.1648,24146.1648,22482.640799999997
260,24146.1648,24146.1648,22482.640799999997
261,24146.1648,24146.1648,22482.640799999997
262,24146.1648,24146.1648,22482.640799999997
263,24146.1648,24146.1648,22482.640799999997
264,24146.1648,24146.1648,22482.640799999997
265,24146.1648,24146.1648,22482.640799999997
266,24146.1648,24146.1648,22482.640799999997
267,24146.1648,24146.1648,22482.640799999997
268,24146.1648,24146.1648,22482.640799999997
269,24146.1648,24146.1648,22482.640799999997
270,24146.1648,24146.1648,22482.640799999997
271,24146.1648,24146.1648,22482.640799999997
272,24146.1648,24146.1648,22482.640799999997
273,24146.1648,24146.1648,22482.640799999997
274,24146.1648,24146.1648,22482.640799999997
275,24146.1648,24146.1648,22482.640799999997
276,24146.1648,24146.1648,22482.640799999997
277,24146.1648,24146.1648,22482.640799999997
278,24146.1648,24146.1648,22482.640799999997
279,24146.1648,24146.1648,22482.640799999997
280,24146.1648,24146.1648,22482.640799999997
281,24146.1648,24146.1648,22482.640799999997
282,24146.1648,24146.1648,22482.640799999997
283,24146.1648,24146.1648,22482.640799999997
284,24146.1648,24146.1648,22482.640799999997
285,24146.1648,24146.1648,22482.640799999997
286,24146.1648,24146.1648,22482.640799999997
287,24146.1648,24146.1648,22482.640799999997
288,24146.1648,24146.1648,22482.640799999997
289,24146.1648,24146.1648,22482.640799999997
290,24146.1648,24146.1648,22482.640799999997
291,24146.1648,24146.1648,22482.640799999997
292,24146.1648,24146.1648,22482.640799999997
293,24146.1648,24146.1648,22482.640799999997
294,24146.1648,24146.1648,22482.640799999997
295,24146.1648,24146.1648,22482.640799999997
296,24146.1648,24146.1648,22482.640799999997
297,24146.1648,24146.1648,22482.640799999997
298,24146.1648,24146.1648,22482.640799999997
299,24146.1648,24146.1648,22482.640799999997
300,24146.1648,24146.1648,22482.640799999997
301,24146.1648,24146.1648,22482.640799999997
302,24146.1648,24146.1648,22482.640799999997
303,24146.1648,24146.1648,22482.640799999997
304,24146.1648,24146.1648,22482.640799999997
305,24146.1648,24146.1648,22482.640799999997
306,24146.1648,24146.1648,22482.640799999997
307,24146.1648,24146.1648,22482.640799999997
308,24146.1648,24146.1648,22482.640799999997
309,24146.1648,24146.1648,22482.640799999997
310,24146.1648,24146.1648,22482.640799999997
311,24146.1648,24146.1648,22482.640799999997
312,24146.1648,24146.1648,22482.640799999997
313,24146.1648,24146.1648,22482.640799999997
314,24146.1648,24146.1648,22482.640799999997
315,24146.1648,24146.1648,22482.640799999997
316,24146.1648,24146.1648,22482.640799999997
317,24146.1648,24146.1648,22482.640799999997
318,24146.1648,24146.1648,22482.640799999997
319,24146.1648,24146.1648,22482.640799999997
320,24146.1648,24146.1648,22482.640799999997
321,24146.1648,24146.1648,22482.640799999997
322,24146.1648,24146.1648,22482.640799999997
323,24146.1648,24146.1648,22482.640799999997
