Epoch,Cost,Baseline,Best
0,909551.478,587980.9216,909551.478
1,1738887.6084,100000.0,909551.478
2,100000.0,100000.0,100000.0
3,104286.5128,100000.0,100000.0
4,100000.0,100000.0,100000.0
5,106582.2184,100000.0,100000.0
6,100000.0,100000.0,100000.0
7,107353.432,100000.0,100000.0
8,100000.0,100000.0,100000.0
9,100000.0,100000.0,100000.0
10,101040.2416,100000.0,100000.0
11,2623953.0,100000.0,100000.0
12,100000.0,100000.0,100000.0
13,100000.0,100000.0,100000.0
14,158262.49719999998,100000.0,100000.0
15,111828.2644,100000.0,100000.0
16,113594.8816,100000.0,100000.0
17,114778.6048,100000.0,100000.0
18,100000.0,100000.0,100000.0
19,101470.6864,100000.0,100000.0
20,112940.2468,100000.0,100000.0
21,100000.0,100000.0,100000.0
22,106071.0652,100000.0,100000.0
23,103120.7248,100000.0,100000.0
24,126660.6748,100000.0,100000.0
25,104160.9664,100000.0,100000.0
26,100000.0,100000.0,100000.0
27,100000.0,100000.0,100000.0
28,109604.2996,100000.0,100000.0
29,108698.572,100000.0,100000.0
30,100000.0,100000.0,100000.0
31,100000.0,100000.0,100000.0
32,116123.7448,100000.0,100000.0
33,107927.3584,100000.0,100000.0
34,100000.0,100000.0,100000.0
35,103120.7248,100000.0,100000.0
36,100000.0,100000.0,100000.0
37,100000.0,100000.0,100000.0
38,100000.0,100000.0,100000.0
39,100000.0,100000.0,100000.0
40,100000.0,100000.0,100000.0
41,100000.0,100000.0,100000.0
42,100000.0,100000.0,100000.0
43,102080.4832,100000.0,100000.0
44,100000.0,100000.0,100000.0
45,100000.0,100000.0,100000.0
46,100000.0,100000.0,100000.0
47,104160.9664,100000.0,100000.0
48,100000.0,100000.0,100000.0
49,100000.0,100000.0,100000.0
50,100000.0,100000.0,100000.0
51,100000.0,100000.0,100000.0
52,100000.0,100000.0,100000.0
53,107353.432,100000.0,100000.0
54,100000.0,100000.0,100000.0
55,100000.0,100000.0,100000.0
56,100000.0,100000.0,100000.0
57,103748.4568,100000.0,100000.0
58,100000.0,100000.0,100000.0
59,100000.0,100000.0,100000.0
60,109586.3644,100000.0,100000.0
61,100000.0,100000.0,100000.0
62,100000.0,100000.0,100000.0
63,100000.0,100000.0,100000.0
64,100000.0,100000.0,100000.0
65,100000.0,100000.0,100000.0
66,100000.0,100000.0,100000.0
67,100000.0,100000.0,100000.0
68,100000.0,100000.0,100000.0
69,100000.0,100000.0,100000.0
70,100000.0,100000.0,100000.0
71,100000.0,100000.0,100000.0
72,100000.0,100000.0,100000.0
73,100000.0,100000.0,100000.0
74,100000.0,100000.0,100000.0
75,100000.0,100000.0,100000.0
76,100000.0,100000.0,100000.0
77,100000.0,100000.0,100000.0
78,100000.0,100000.0,100000.0
79,100000.0,100000.0,100000.0
80,100000.0,100000.0,100000.0
81,100000.0,100000.0,100000.0
82,100000.0,100000.0,100000.0
83,100000.0,100000.0,100000.0
84,100000.0,100000.0,100000.0
85,100000.0,100000.0,100000.0
86,100000.0,100000.0,100000.0
87,100000.0,100000.0,100000.0
88,100000.0,100000.0,100000.0
89,100000.0,100000.0,100000.0
90,100000.0,100000.0,100000.0
91,100000.0,100000.0,100000.0
92,100000.0,100000.0,100000.0
93,100000.0,100000.0,100000.0
94,100000.0,100000.0,100000.0
95,100000.0,100000.0,100000.0
96,100000.0,100000.0,100000.0
97,100000.0,100000.0,100000.0
98,100000.0,100000.0,100000.0
99,100000.0,100000.0,100000.0
100,100000.0,100000.0,100000.0
101,100000.0,100000.0,100000.0
102,100000.0,100000.0,100000.0
