Epoch,Cost,Baseline,Best
0,1030034.3964,687016.8036,1030034.3964
1,100000.0,100000.0,100000.0
2,100000.0,100000.0,100000.0
3,100000.0,100000.0,100000.0
4,100000.0,100000.0,100000.0
5,1524800.0,100000.0,100000.0
6,1641990.0,100000.0,100000.0
7,101040.2416,100000.0,100000.0
8,108393.6736,100000.0,100000.0
9,111442.6576,100000.0,100000.0
10,113837.0068,100000.0,100000.0
11,194455.7308,100000.0,100000.0
12,305196.62320000003,100000.0,100000.0
13,534372.6088,687016.8036,100000.0
14,695502.4456,687016.8036,100000.0
15,762553.1908,687016.8036,100000.0
16,732978.046,687016.8036,100000.0
17,771171.0544,687016.8036,100000.0
18,687016.8036,687016.8036,100000.0
19,687016.8036,687016.8036,100000.0
20,687016.8036,687016.8036,100000.0
21,687016.8036,687016.8036,100000.0
22,687016.8036,687016.8036,100000.0
23,687016.8036,687016.8036,100000.0
24,687016.8036,687016.8036,100000.0
25,687016.8036,687016.8036,100000.0
26,687016.8036,687016.8036,100000.0
27,687016.8036,687016.8036,100000.0
28,744005.8583999999,687016.8036,100000.0
29,681815.5956,687016.8036,100000.0
30,687016.8036,687016.8036,100000.0
31,823284.4316,687016.8036,100000.0
32,687016.8036,687016.8036,100000.0
33,683268.3467999999,687016.8036,100000.0
34,687016.8036,687016.8036,100000.0
35,687016.8036,687016.8036,100000.0
36,687016.8036,687016.8036,100000.0
37,782855.8372,687016.8036,100000.0
38,687016.8036,687016.8036,100000.0
39,687016.8036,687016.8036,100000.0
40,687016.8036,687016.8036,100000.0
41,687016.8036,687016.8036,100000.0
42,684936.3204,687016.8036,100000.0
43,687016.8036,687016.8036,100000.0
44,687016.8036,687016.8036,100000.0
45,687016.8036,687016.8036,100000.0
46,687016.8036,687016.8036,100000.0
47,687016.8036,687016.8036,100000.0
48,687016.8036,687016.8036,100000.0
49,687016.8036,687016.8036,100000.0
50,687016.8036,687016.8036,100000.0
51,687016.8036,687016.8036,100000.0
52,687016.8036,687016.8036,100000.0
53,687016.8036,687016.8036,100000.0
54,674489.0664,687016.8036,100000.0
55,687016.8036,687016.8036,100000.0
56,687016.8036,687016.8036,100000.0
57,687016.8036,687016.8036,100000.0
58,687016.8036,687016.8036,100000.0
59,687016.8036,687016.8036,100000.0
60,687016.8036,687016.8036,100000.0
61,687016.8036,687016.8036,100000.0
62,687016.8036,687016.8036,100000.0
63,687016.8036,687016.8036,100000.0
64,687016.8036,687016.8036,100000.0
65,687016.8036,687016.8036,100000.0
66,687016.8036,687016.8036,100000.0
67,687016.8036,687016.8036,100000.0
68,687016.8036,687016.8036,100000.0
69,687016.8036,687016.8036,100000.0
70,687016.8036,687016.8036,100000.0
71,687016.8036,687016.8036,100000.0
72,687016.8036,687016.8036,100000.0
73,687016.8036,687016.8036,100000.0
74,687016.8036,687016.8036,100000.0
75,687016.8036,687016.8036,100000.0
76,687016.8036,687016.8036,100000.0
77,687016.8036,687016.8036,100000.0
78,687016.8036,687016.8036,100000.0
79,687016.8036,687016.8036,100000.0
80,687016.8036,687016.8036,100000.0
81,687016.8036,687016.8036,100000.0
82,687016.8036,687016.8036,100000.0
83,687016.8036,687016.8036,100000.0
84,687016.8036,687016.8036,100000.0
85,687016.8036,687016.8036,100000.0
86,687016.8036,687016.8036,100000.0
87,687016.8036,687016.8036,100000.0
88,687016.8036,687016.8036,100000.0
89,687016.8036,687016.8036,100000.0
90,687016.8036,687016.8036,100000.0
91,687016.8036,687016.8036,100000.0
92,687016.8036,687016.8036,100000.0
93,687016.8036,687016.8036,100000.0
94,782730.2908,687016.8036,100000.0
95,687016.8036,687016.8036,100000.0
96,687016.8036,687016.8036,100000.0
97,687016.8036,687016.8036,100000.0
98,687016.8036,687016.8036,100000.0
99,687016.8036,687016.8036,100000.0
100,687016.8036,687016.8036,100000.0
101,687016.8036,687016.8036,100000.0
