Epoch,Cost,Baseline,Best
0,49599.936,132426.128,49599.936
1,51783.0,50967.0,49599.936
2,48740.0,50967.0,48740.0
3,54279.0,50967.0,48740.0
4,53963.464,50967.0,48740.0
5,48442.0,50967.0,48442.0
6,50674.0,50967.0,48442.0
7,52376.0,50967.0,48442.0
8,51078.0,50967.0,48442.0
9,50372.0,50967.0,48442.0
10,52459.0,50967.0,48442.0
11,51168.0,50967.0,48442.0
12,50729.0,50967.0,48442.0
13,51246.0,50967.0,48442.0
14,48993.0,50967.0,48442.0
15,51003.0,50967.0,48442.0
16,50436.0,50967.0,48442.0
17,55605.0,50967.0,48442.0
18,51046.0,50967.0,48442.0
19,50967.0,50967.0,48442.0
20,50905.0,50967.0,48442.0
21,50967.0,50967.0,48442.0
22,51012.0,50967.0,48442.0
23,50967.0,50967.0,48442.0
24,50967.0,50967.0,48442.0
25,51046.0,50967.0,48442.0
26,50943.472,50967.0,48442.0
27,48863.0,50967.0,48442.0
28,56754.0,50967.0,48442.0
29,54707.0,50967.0,48442.0
30,50967.0,50967.0,48442.0
31,50697.0,50967.0,48442.0
32,50967.0,50967.0,48442.0
33,50967.0,50967.0,48442.0
34,50967.0,50967.0,48442.0
35,50967.0,50967.0,48442.0
36,50967.0,50967.0,48442.0
37,51515.0,50967.0,48442.0
38,50967.0,50967.0,48442.0
39,50967.0,50967.0,48442.0
40,50967.0,50967.0,48442.0
41,50683.0,50967.0,48442.0
42,50967.0,50967.0,48442.0
43,51031.0,50967.0,48442.0
44,50967.0,50967.0,48442.0
45,50967.0,50967.0,48442.0
46,50967.0,50967.0,48442.0
47,51040.152,50967.0,48442.0
48,50967.0,50967.0,48442.0
49,50967.0,50967.0,48442.0
50,50967.0,50967.0,48442.0
51,50855.0,50967.0,48442.0
52,50967.0,50967.0,48442.0
53,50967.0,50967.0,48442.0
54,50967.0,50967.0,48442.0
55,50967.0,50967.0,48442.0
56,52831.0,50967.0,48442.0
57,53760.0,50967.0,48442.0
58,50967.0,50967.0,48442.0
59,50967.0,50967.0,48442.0
60,50967.0,50967.0,48442.0
61,50967.0,50967.0,48442.0
62,50967.0,50967.0,48442.0
63,50967.0,50967.0,48442.0
64,50967.0,50967.0,48442.0
65,50967.0,50967.0,48442.0
66,50967.0,50967.0,48442.0
67,50967.0,50967.0,48442.0
68,50967.0,50967.0,48442.0
69,50967.0,50967.0,48442.0
70,50967.0,50967.0,48442.0
71,50967.0,50967.0,48442.0
72,50967.0,50967.0,48442.0
73,50967.0,50967.0,48442.0
74,50967.0,50967.0,48442.0
75,50967.0,50967.0,48442.0
76,50967.0,50967.0,48442.0
77,50967.0,50967.0,48442.0
78,50967.0,50967.0,48442.0
79,50967.0,50967.0,48442.0
80,48769.0,50967.0,48442.0
81,50967.0,50967.0,48442.0
82,50967.0,50967.0,48442.0
83,50967.0,50967.0,48442.0
84,50967.0,50967.0,48442.0
85,50967.0,50967.0,48442.0
86,50967.0,50967.0,48442.0
87,50967.0,50967.0,48442.0
88,50967.0,50967.0,48442.0
89,50967.0,50967.0,48442.0
90,50967.0,50967.0,48442.0
91,50967.0,50967.0,48442.0
92,50967.0,50967.0,48442.0
93,50967.0,50967.0,48442.0
94,50967.0,50967.0,48442.0
95,50967.0,50967.0,48442.0
96,50967.0,50967.0,48442.0
97,50967.0,50967.0,48442.0
98,50967.0,50967.0,48442.0
99,50967.0,50967.0,48442.0
100,50967.0,50967.0,48442.0
101,50967.0,50967.0,48442.0
102,50967.0,50967.0,48442.0
103,50967.0,50967.0,48442.0
104,50967.0,50967.0,48442.0
105,50967.0,50967.0,48442.0
