Epoch,Cost,Baseline,Best
0,48742.0,100000.0,48742.0
1,47817.0,100000.0,47817.0
2,55456.0,58373.0,47817.0
3,58037.0,58373.0,47817.0
4,58297.0,58373.0,47817.0
5,58414.0,58373.0,47817.0
6,58536.0,58373.0,47817.0
7,58373.0,58373.0,47817.0
8,58373.0,58373.0,47817.0
9,58373.0,58373.0,47817.0
10,58383.0,58373.0,47817.0
11,58373.0,58373.0,47817.0
12,58373.0,58373.0,47817.0
13,57869.0,58373.0,47817.0
14,58373.0,58373.0,47817.0
15,58373.0,58373.0,47817.0
16,58373.0,58373.0,47817.0
17,58373.0,58373.0,47817.0
18,59287.0,58373.0,47817.0
19,58373.0,58373.0,47817.0
20,58373.0,58373.0,47817.0
21,58349.0,58373.0,47817.0
22,58324.0,58373.0,47817.0
23,58373.0,58373.0,47817.0
24,58373.0,58373.0,47817.0
25,58373.0,58373.0,47817.0
26,58481.0,58373.0,47817.0
27,58373.0,58373.0,47817.0
28,58373.0,58373.0,47817.0
29,58367.0,58373.0,47817.0
30,58690.04,58373.0,47817.0
31,58373.0,58373.0,47817.0
32,58373.0,58373.0,47817.0
33,58518.0,58373.0,47817.0
34,58373.0,58373.0,47817.0
35,58373.0,58373.0,47817.0
36,58373.0,58373.0,47817.0
37,58818.56,58373.0,47817.0
38,58373.0,58373.0,47817.0
39,58373.0,58373.0,47817.0
40,58392.0,58373.0,47817.0
41,58373.0,58373.0,47817.0
42,58373.0,58373.0,47817.0
43,58373.0,58373.0,47817.0
44,58373.0,58373.0,47817.0
45,58373.0,58373.0,47817.0
46,58616.64,58373.0,47817.0
47,58418.0,58373.0,47817.0
48,58373.0,58373.0,47817.0
49,58373.0,58373.0,47817.0
50,58373.0,58373.0,47817.0
51,58373.0,58373.0,47817.0
52,58373.0,58373.0,47817.0
53,58373.0,58373.0,47817.0
54,58373.0,58373.0,47817.0
55,58083.0,58373.0,47817.0
56,58373.0,58373.0,47817.0
57,58373.0,58373.0,47817.0
58,58373.0,58373.0,47817.0
59,58373.0,58373.0,47817.0
60,58373.0,58373.0,47817.0
61,58373.0,58373.0,47817.0
62,58373.0,58373.0,47817.0
63,58373.0,58373.0,47817.0
64,58373.0,58373.0,47817.0
65,53237.0,58373.0,47817.0
66,58373.0,58373.0,47817.0
67,58373.0,58373.0,47817.0
68,58373.0,58373.0,47817.0
69,58373.0,58373.0,47817.0
70,58373.0,58373.0,47817.0
71,58373.0,58373.0,47817.0
72,58373.0,58373.0,47817.0
73,58373.0,58373.0,47817.0
74,58373.0,58373.0,47817.0
75,58373.0,58373.0,47817.0
76,58373.0,58373.0,47817.0
77,58373.0,58373.0,47817.0
78,58527.0,58373.0,47817.0
79,58373.0,58373.0,47817.0
80,58373.0,58373.0,47817.0
81,58373.0,58373.0,47817.0
82,58321.0,58373.0,47817.0
83,58187.0,58373.0,47817.0
84,58290.0,58373.0,47817.0
85,58373.0,58373.0,47817.0
86,58373.0,58373.0,47817.0
87,58346.0,58373.0,47817.0
88,58373.0,58373.0,47817.0
89,58373.0,58373.0,47817.0
90,58072.0,58373.0,47817.0
91,53330.0,58373.0,47817.0
92,56832.0,58373.0,47817.0
93,58478.0,58373.0,47817.0
94,57998.0,58373.0,47817.0
95,57734.0,58373.0,47817.0
96,55540.0,58373.0,47817.0
97,54321.0,58373.0,47817.0
98,59434.0,58373.0,47817.0
99,58257.0,58373.0,47817.0
100,52813.0,58373.0,47817.0
101,54174.0,58373.0,47817.0
