Epoch,Cost,Baseline,Best
0,363472.0268,340905.0,363472.0268
1,118293.04,100000.0,118293.04
2,108902.6128,100000.0,108902.6128
3,158354.7976,100000.0,108902.6128
4,100000.0,100000.0,100000.0
5,100000.0,100000.0,100000.0
6,100000.0,100000.0,100000.0
7,853804.6984,100000.0,100000.0
8,100000.0,100000.0,100000.0
9,100000.0,100000.0,100000.0
10,100000.0,100000.0,100000.0
11,100000.0,100000.0,100000.0
12,100000.0,100000.0,100000.0
13,100579.2796,100000.0,100000.0
14,104847.6556,100000.0,100000.0
15,100000.0,100000.0,100000.0
16,101554.9084,100000.0,100000.0
17,1587410.2332,100000.0,100000.0
18,100000.0,100000.0,100000.0
19,100000.0,100000.0,100000.0
20,100000.0,100000.0,100000.0
21,100000.0,100000.0,100000.0
22,100000.0,100000.0,100000.0
23,100000.0,100000.0,100000.0
24,100000.0,100000.0,100000.0
25,1373109.0,100000.0,100000.0
26,100000.0,100000.0,100000.0
27,100000.0,100000.0,100000.0
28,100000.0,100000.0,100000.0
29,100000.0,100000.0,100000.0
30,100000.0,100000.0,100000.0
31,101219.536,100000.0,100000.0
32,100000.0,100000.0,100000.0
33,100000.0,100000.0,100000.0
34,100701.2332,100000.0,100000.0
35,100000.0,100000.0,100000.0
36,100000.0,100000.0,100000.0
37,100000.0,100000.0,100000.0
38,100000.0,100000.0,100000.0
39,100000.0,100000.0,100000.0
40,102317.1184,100000.0,100000.0
41,100000.0,100000.0,100000.0
42,100000.0,100000.0,100000.0
43,100000.0,100000.0,100000.0
44,100792.6984,100000.0,100000.0
45,101554.9084,100000.0,100000.0
46,100792.6984,100000.0,100000.0
47,102926.8864,100000.0,100000.0
48,100000.0,100000.0,100000.0
49,100000.0,100000.0,100000.0
50,100792.6984,100000.0,100000.0
51,100000.0,100000.0,100000.0
52,106981.8436,100000.0,100000.0
53,100000.0,100000.0,100000.0
54,100000.0,100000.0,100000.0
55,100000.0,100000.0,100000.0
56,100548.7912,100000.0,100000.0
57,101341.4896,100000.0,100000.0
58,100000.0,100000.0,100000.0
59,100000.0,100000.0,100000.0
60,105609.8656,100000.0,100000.0
61,100000.0,100000.0,100000.0
62,100792.6984,100000.0,100000.0
63,103109.8168,100000.0,100000.0
64,100000.0,100000.0,100000.0
65,100000.0,100000.0,100000.0
66,100000.0,100000.0,100000.0
67,102317.1184,100000.0,100000.0
68,100000.0,100000.0,100000.0
69,100000.0,100000.0,100000.0
70,100000.0,100000.0,100000.0
71,100000.0,100000.0,100000.0
72,102439.072,100000.0,100000.0
73,102926.8864,100000.0,100000.0
74,102103.69959999999,100000.0,100000.0
75,100000.0,100000.0,100000.0
76,100000.0,100000.0,100000.0
77,100000.0,100000.0,100000.0
78,100000.0,100000.0,100000.0
79,100000.0,100000.0,100000.0
80,100000.0,100000.0,100000.0
81,100000.0,100000.0,100000.0
82,100000.0,100000.0,100000.0
83,100000.0,100000.0,100000.0
84,100000.0,100000.0,100000.0
85,100792.6984,100000.0,100000.0
86,100000.0,100000.0,100000.0
87,100000.0,100000.0,100000.0
88,100000.0,100000.0,100000.0
89,103079.3284,100000.0,100000.0
90,100000.0,100000.0,100000.0
91,100000.0,100000.0,100000.0
92,100000.0,100000.0,100000.0
93,100000.0,100000.0,100000.0
94,100000.0,100000.0,100000.0
95,100000.0,100000.0,100000.0
96,100000.0,100000.0,100000.0
97,100000.0,100000.0,100000.0
98,100000.0,100000.0,100000.0
99,100000.0,100000.0,100000.0
100,100000.0,100000.0,100000.0
101,100000.0,100000.0,100000.0
102,100000.0,100000.0,100000.0
103,100000.0,100000.0,100000.0
104,100000.0,100000.0,100000.0
