Epoch,Cost,Baseline,Best
0,3284.8056,1565.5824,3284.8056
1,3935.0,3577.0,3284.8056
2,3577.0,3577.0,3284.8056
3,3577.0,3577.0,3284.8056
4,3577.0,3577.0,3284.8056
5,3577.0,3577.0,3284.8056
6,3577.0,3577.0,3284.8056
7,3577.0,3577.0,3284.8056
8,3577.0,3577.0,3284.8056
9,3577.0,3577.0,3284.8056
10,3577.0,3577.0,3284.8056
11,3577.0,3577.0,3284.8056
12,3577.0,3577.0,3284.8056
13,3577.0,3577.0,3284.8056
14,3577.0,3577.0,3284.8056
15,3577.0,3577.0,3284.8056
16,3577.0,3577.0,3284.8056
17,3577.0,3577.0,3284.8056
18,3577.0,3577.0,3284.8056
19,3577.0,3577.0,3284.8056
20,3577.0,3577.0,3284.8056
21,3540.9928,3577.0,3284.8056
22,3577.0,3577.0,3284.8056
23,3577.0,3577.0,3284.8056
24,3577.0,3577.0,3284.8056
25,3577.0,3577.0,3284.8056
26,3577.0,3577.0,3284.8056
27,3495.4844,3577.0,3284.8056
28,3414.9928,3577.0,3284.8056
29,4029.9688,3577.0,3284.8056
30,3577.0,3577.0,3284.8056
31,3577.0,3577.0,3284.8056
32,3577.0,3577.0,3284.8056
33,3577.0,3577.0,3284.8056
34,3577.0,3577.0,3284.8056
35,3577.0,3577.0,3284.8056
36,3577.0,3577.0,3284.8056
37,3577.0,3577.0,3284.8056
38,3577.0,3577.0,3284.8056
39,3577.0,3577.0,3284.8056
40,4032.0,3577.0,3284.8056
41,3577.0,3577.0,3284.8056
42,3577.0,3577.0,3284.8056
43,3577.0,3577.0,3284.8056
44,3577.0,3577.0,3284.8056
45,3577.0,3577.0,3284.8056
46,3577.0,3577.0,3284.8056
47,3577.0,3577.0,3284.8056
48,3577.0,3577.0,3284.8056
49,3577.0,3577.0,3284.8056
50,3577.0,3577.0,3284.8056
51,3577.0,3577.0,3284.8056
52,3577.0,3577.0,3284.8056
53,3577.0,3577.0,3284.8056
54,3577.0,3577.0,3284.8056
55,3577.0,3577.0,3284.8056
56,3577.0,3577.0,3284.8056
57,3577.0,3577.0,3284.8056
58,3577.0,3577.0,3284.8056
59,3577.0,3577.0,3284.8056
60,3577.0,3577.0,3284.8056
61,3577.0,3577.0,3284.8056
62,3577.0,3577.0,3284.8056
63,3577.0,3577.0,3284.8056
64,3577.0,3577.0,3284.8056
65,3577.0,3577.0,3284.8056
66,3577.0,3577.0,3284.8056
67,3577.0,3577.0,3284.8056
68,3577.0,3577.0,3284.8056
69,3577.0,3577.0,3284.8056
70,3577.0,3577.0,3284.8056
71,3577.0,3577.0,3284.8056
72,3577.0,3577.0,3284.8056
73,3577.0,3577.0,3284.8056
74,3577.0,3577.0,3284.8056
75,3577.0,3577.0,3284.8056
76,3577.0,3577.0,3284.8056
77,3577.0,3577.0,3284.8056
78,3577.0,3577.0,3284.8056
79,3577.0,3577.0,3284.8056
80,3577.0,3577.0,3284.8056
81,3577.0,3577.0,3284.8056
82,3577.0,3577.0,3284.8056
83,3577.0,3577.0,3284.8056
84,3577.0,3577.0,3284.8056
85,3577.0,3577.0,3284.8056
86,3577.0,3577.0,3284.8056
87,3577.0,3577.0,3284.8056
88,3577.0,3577.0,3284.8056
89,3577.0,3577.0,3284.8056
90,3577.0,3577.0,3284.8056
91,3577.0,3577.0,3284.8056
92,3577.0,3577.0,3284.8056
93,3577.0,3577.0,3284.8056
94,3577.0,3577.0,3284.8056
95,3577.0,3577.0,3284.8056
96,3577.0,3577.0,3284.8056
97,3577.0,3577.0,3284.8056
98,3577.0,3577.0,3284.8056
99,3577.0,3577.0,3284.8056
100,3577.0,3577.0,3284.8056
101,3577.0,3577.0,3284.8056
