Epoch,Cost,Baseline,Best
0,3717.008,2772.3624,3717.008
1,102530.7712,2566.584,3717.008
2,4033.3216,4494.0,3717.008
3,4682.3448,4494.0,3717.008
4,4550.5944,4494.0,3717.008
5,4609.688,4494.0,3717.008
6,4471.532,4494.0,3717.008
7,4512.0,4494.0,3717.008
8,4501.8128,4494.0,3717.008
9,4517.844,4494.0,3717.008
10,4532.2512,4494.0,3717.008
11,4494.0,4494.0,3717.008
12,4578.8128,4494.0,3717.008
13,4494.0,4494.0,3717.008
14,4501.8128,4494.0,3717.008
15,4517.8752,4494.0,3717.008
16,4471.7504,4494.0,3717.008
17,4636.8752,4494.0,3717.008
18,4493.3448,4494.0,3717.008
19,4641.376,4494.0,3717.008
20,5068.9704,4494.0,3717.008
21,4583.908,4494.0,3717.008
22,4964.844,4494.0,3717.008
23,4459.8128,4494.0,3717.008
24,4494.0,4494.0,3717.008
25,4469.4696,4494.0,3717.008
26,4438.376,4494.0,3717.008
27,4591.3448,4494.0,3717.008
28,4727.6568,4494.0,3717.008
29,4516.844,4494.0,3717.008
30,4840.688,4494.0,3717.008
31,4494.0,4494.0,3717.008
32,4720.6568,4494.0,3717.008
33,4494.0,4494.0,3717.008
34,4517.8752,4494.0,3717.008
35,4538.6568,4494.0,3717.008
36,4803.844,4494.0,3717.008
37,4494.0,4494.0,3717.008
38,4494.0,4494.0,3717.008
39,4494.0,4494.0,3717.008
40,4503.6568,4494.0,3717.008
41,4494.0,4494.0,3717.008
42,4494.0,4494.0,3717.008
43,4622.0,4494.0,3717.008
44,4494.0,4494.0,3717.008
45,4494.0,4494.0,3717.008
46,4503.8752,4494.0,3717.008
47,4494.0,4494.0,3717.008
48,4606.7816,4494.0,3717.008
49,4494.0,4494.0,3717.008
50,4501.5944,4494.0,3717.008
51,4494.0,4494.0,3717.008
52,4494.0,4494.0,3717.008
53,4494.0,4494.0,3717.008
54,4494.0,4494.0,3717.008
55,4819.688,4494.0,3717.008
56,4494.0,4494.0,3717.008
57,4494.0,4494.0,3717.008
58,4494.0,4494.0,3717.008
59,4494.0,4494.0,3717.008
60,4494.0,4494.0,3717.008
61,4545.8752,4494.0,3717.008
62,4494.0,4494.0,3717.008
63,4451.7816,4494.0,3717.008
64,4494.0,4494.0,3717.008
65,4494.0,4494.0,3717.008
66,4461.8752,4494.0,3717.008
67,4494.0,4494.0,3717.008
68,4494.0,4494.0,3717.008
69,4494.0,4494.0,3717.008
70,4494.0,4494.0,3717.008
71,4494.0,4494.0,3717.008
72,4494.0,4494.0,3717.008
73,4494.0,4494.0,3717.008
74,4494.0,4494.0,3717.008
75,4494.0,4494.0,3717.008
76,4461.6568,4494.0,3717.008
77,4494.0,4494.0,3717.008
78,4494.0,4494.0,3717.008
79,4494.0,4494.0,3717.008
80,4222.0,4494.0,3717.008
81,4494.0,4494.0,3717.008
82,4494.0,4494.0,3717.008
83,4494.0,4494.0,3717.008
84,4494.0,4494.0,3717.008
85,4488.844,4494.0,3717.008
86,4494.0,4494.0,3717.008
87,4494.0,4494.0,3717.008
88,4494.0,4494.0,3717.008
89,4494.0,4494.0,3717.008
90,4494.0,4494.0,3717.008
91,4494.0,4494.0,3717.008
92,4494.0,4494.0,3717.008
93,4494.0,4494.0,3717.008
94,4494.0,4494.0,3717.008
95,4494.0,4494.0,3717.008
96,4494.0,4494.0,3717.008
97,4494.0,4494.0,3717.008
98,4494.0,4494.0,3717.008
99,4494.0,4494.0,3717.008
100,4495.844,4494.0,3717.008
101,4494.0,4494.0,3717.008
