Epoch,Cost,Baseline,Best
0,6584.116,100000.0,6584.116
1,5212.6872,4529.3544,5212.6872
2,5794.354,4529.3544,5212.6872
3,4529.3544,4529.3544,4529.3544
4,4529.3544,4529.3544,4529.3544
5,4529.3544,4529.3544,4529.3544
6,4481.5764,4529.3544,4481.5764
7,4500.6876,4529.3544,4481.5764
8,104491.132,4529.3544,4481.5764
9,5190.4652,4529.3544,4481.5764
10,4529.3544,4529.3544,4481.5764
11,4747.5764,4529.3544,4481.5764
12,5407.4652,4529.3544,4481.5764
13,4500.6876,4529.3544,4481.5764
14,6485.3536,4529.3544,4481.5764
15,4529.3544,4529.3544,4481.5764
16,5424.6876,4529.3544,4481.5764
17,4529.3544,4529.3544,4481.5764
18,5647.9092,4529.3544,4481.5764
19,5407.4652,4529.3544,4481.5764
20,5414.4652,4529.3544,4481.5764
21,4940.354,4529.3544,4481.5764
22,5656.2428,4529.3544,4481.5764
23,6036.6868,4529.3544,4481.5764
24,6326.7976,4529.3544,4481.5764
25,6346.464,4529.3544,4481.5764
26,6526.9072,4529.3544,4481.5764
27,4500.6876,4529.3544,4481.5764
28,4860.1316,4529.3544,4481.5764
29,4529.3544,4529.3544,4481.5764
30,4977.9096,4529.3544,4481.5764
31,4519.7988000000005,4529.3544,4481.5764
32,4529.3544,4529.3544,4481.5764
33,4817.5764,4529.3544,4481.5764
34,4510.2432,4529.3544,4481.5764
35,4529.3544,4529.3544,4481.5764
36,4405.1316,4529.3544,4405.1316
37,4529.3544,4529.3544,4405.1316
38,4491.132,4529.3544,4405.1316
39,4510.2432,4529.3544,4405.1316
40,4529.3544,4529.3544,4405.1316
41,4529.3544,4529.3544,4405.1316
42,4500.6876,4529.3544,4405.1316
43,4529.3544,4529.3544,4405.1316
44,4529.3544,4529.3544,4405.1316
45,4529.3544,4529.3544,4405.1316
46,4529.3544,4529.3544,4405.1316
47,4529.3544,4529.3544,4405.1316
48,4510.2432,4529.3544,4405.1316
49,4529.3544,4529.3544,4405.1316
50,4529.3544,4529.3544,4405.1316
51,4510.2432,4529.3544,4405.1316
52,4529.3544,4529.3544,4405.1316
53,4852.4652,4529.3544,4405.1316
54,4491.132,4529.3544,4405.1316
55,4395.576,4529.3544,4395.576
56,4529.3544,4529.3544,4395.576
57,5714.1316,4529.3544,4395.576
58,4529.3544,4529.3544,4395.576
59,4500.6876,4529.3544,4395.576
60,4529.3544,4529.3544,4395.576
61,4529.3544,4529.3544,4395.576
62,4529.3544,4529.3544,4395.576
63,4529.3544,4529.3544,4395.576
64,4529.3544,4529.3544,4395.576
65,4529.3544,4529.3544,4395.576
66,4529.3544,4529.3544,4395.576
67,4529.3544,4529.3544,4395.576
68,4529.3544,4529.3544,4395.576
69,4529.3544,4529.3544,4395.576
70,4500.6876,4529.3544,4395.576
71,4529.3544,4529.3544,4395.576
72,4529.3544,4529.3544,4395.576
73,4529.3544,4529.3544,4395.576
74,4500.6876,4529.3544,4395.576
75,4529.3544,4529.3544,4395.576
76,4529.3544,4529.3544,4395.576
77,4529.3544,4529.3544,4395.576
78,4529.3544,4529.3544,4395.576
79,4529.3544,4529.3544,4395.576
80,4529.3544,4529.3544,4395.576
81,4529.3544,4529.3544,4395.576
82,4529.3544,4529.3544,4395.576
83,4529.3544,4529.3544,4395.576
84,4529.3544,4529.3544,4395.576
85,4529.3544,4529.3544,4395.576
86,4529.3544,4529.3544,4395.576
87,4529.3544,4529.3544,4395.576
88,4529.3544,4529.3544,4395.576
89,4529.3544,4529.3544,4395.576
90,4500.6876,4529.3544,4395.576
91,4529.3544,4529.3544,4395.576
92,4529.3544,4529.3544,4395.576
93,4529.3544,4529.3544,4395.576
94,4529.3544,4529.3544,4395.576
95,4529.3544,4529.3544,4395.576
96,4529.3544,4529.3544,4395.576
97,4529.3544,4529.3544,4395.576
98,4529.3544,4529.3544,4395.576
99,4500.6876,4529.3544,4395.576
100,4529.3544,4529.3544,4395.576
101,4529.3544,4529.3544,4395.576
102,4529.3544,4529.3544,4395.576
103,4529.3544,4529.3544,4395.576
104,4529.3544,4529.3544,4395.576
105,4529.3544,4529.3544,4395.576
106,4529.3544,4529.3544,4395.576
107,4529.3544,4529.3544,4395.576
108,4529.3544,4529.3544,4395.576
109,4529.3544,4529.3544,4395.576
110,4529.3544,4529.3544,4395.576
111,4873.5764,4529.3544,4395.576
112,4529.3544,4529.3544,4395.576
113,4529.3544,4529.3544,4395.576
114,4529.3544,4529.3544,4395.576
115,4529.3544,4529.3544,4395.576
116,4529.3544,4529.3544,4395.576
117,4529.3544,4529.3544,4395.576
118,4529.3544,4529.3544,4395.576
119,4510.2432,4529.3544,4395.576
120,4529.3544,4529.3544,4395.576
121,4529.3544,4529.3544,4395.576
122,4529.3544,4529.3544,4395.576
123,4529.3544,4529.3544,4395.576
124,4529.3544,4529.3544,4395.576
125,4529.3544,4529.3544,4395.576
126,4529.3544,4529.3544,4395.576
127,4529.3544,4529.3544,4395.576
128,4529.3544,4529.3544,4395.576
129,4529.3544,4529.3544,4395.576
130,4529.3544,4529.3544,4395.576
131,4529.3544,4529.3544,4395.576
132,4529.3544,4529.3544,4395.576
133,4529.3544,4529.3544,4395.576
134,4529.3544,4529.3544,4395.576
135,4529.3544,4529.3544,4395.576
136,4529.3544,4529.3544,4395.576
137,4529.3544,4529.3544,4395.576
138,4510.2432,4529.3544,4395.576
139,4529.3544,4529.3544,4395.576
140,4510.2432,4529.3544,4395.576
141,4529.3544,4529.3544,4395.576
142,4529.3544,4529.3544,4395.576
143,4529.3544,4529.3544,4395.576
144,4529.3544,4529.3544,4395.576
145,4500.6876,4529.3544,4395.576
146,4529.3544,4529.3544,4395.576
147,4529.3544,4529.3544,4395.576
148,4529.3544,4529.3544,4395.576
149,4529.3544,4529.3544,4395.576
150,4529.3544,4529.3544,4395.576
151,4529.3544,4529.3544,4395.576
152,4529.3544,4529.3544,4395.576
153,104500.6876,4529.3544,4395.576
154,4529.3544,4529.3544,4395.576
155,4510.2432,4529.3544,4395.576
