Epoch,Cost,Baseline,Best
0,3694.8192,100000.0,3694.8192
1,3377.7023999999997,2414.9424,3377.7023999999997
2,2749.4808,2414.9424,2749.4808
3,2414.9424,2414.9424,2414.9424
4,2414.9424,2414.9424,2414.9424
5,102343.4944,2414.9424,2414.9424
6,102357.784,2414.9424,2414.9424
7,102157.7296,2414.9424,2414.9424
8,101086.0096,100228.6336,2414.9424
9,100371.5296,100000.0,2414.9424
10,100242.9232,100000.0,2414.9424
11,100100.0272,100000.0,2414.9424
12,100014.2896,100000.0,2414.9424
13,100007.1448,100000.0,2414.9424
14,100028.5792,100000.0,2414.9424
15,100035.724,100000.0,2414.9424
16,100000.0,100000.0,2414.9424
17,100007.1448,100000.0,2414.9424
18,100000.0,100000.0,2414.9424
19,100035.724,100000.0,2414.9424
20,100050.0136,100000.0,2414.9424
21,100000.0,100000.0,2414.9424
22,100000.0,100000.0,2414.9424
23,100007.1448,100000.0,2414.9424
24,100000.0,100000.0,2414.9424
25,100000.0,100000.0,2414.9424
26,100000.0,100000.0,2414.9424
27,100000.0,100000.0,2414.9424
28,100000.0,100000.0,2414.9424
29,100000.0,100000.0,2414.9424
30,100000.0,100000.0,2414.9424
31,100000.0,100000.0,2414.9424
32,100000.0,100000.0,2414.9424
33,100000.0,100000.0,2414.9424
34,100000.0,100000.0,2414.9424
35,100000.0,100000.0,2414.9424
36,100000.0,100000.0,2414.9424
37,100000.0,100000.0,2414.9424
38,100000.0,100000.0,2414.9424
39,100000.0,100000.0,2414.9424
40,100000.0,100000.0,2414.9424
41,100000.0,100000.0,2414.9424
42,100000.0,100000.0,2414.9424
43,100000.0,100000.0,2414.9424
44,100000.0,100000.0,2414.9424
45,100000.0,100000.0,2414.9424
46,11481.0,100000.0,2414.9424
47,100000.0,100000.0,2414.9424
48,100000.0,100000.0,2414.9424
49,11004.0,100000.0,2414.9424
50,6424.0,100000.0,2414.9424
51,5109.0,100000.0,2414.9424
52,4608.0,100000.0,2414.9424
53,6747.0,100000.0,2414.9424
54,7869.0,100000.0,2414.9424
55,100000.0,100000.0,2414.9424
56,100000.0,100000.0,2414.9424
57,100000.0,100000.0,2414.9424
58,100000.0,100000.0,2414.9424
59,100000.0,100000.0,2414.9424
60,100000.0,100000.0,2414.9424
61,100000.0,100000.0,2414.9424
62,100000.0,100000.0,2414.9424
63,100000.0,100000.0,2414.9424
64,100000.0,100000.0,2414.9424
65,100000.0,100000.0,2414.9424
66,100035.724,100000.0,2414.9424
67,100000.0,100000.0,2414.9424
68,100000.0,100000.0,2414.9424
69,100000.0,100000.0,2414.9424
70,100000.0,100000.0,2414.9424
71,100000.0,100000.0,2414.9424
72,100000.0,100000.0,2414.9424
73,100000.0,100000.0,2414.9424
74,100000.0,100000.0,2414.9424
75,100000.0,100000.0,2414.9424
76,100000.0,100000.0,2414.9424
77,100000.0,100000.0,2414.9424
78,100000.0,100000.0,2414.9424
79,100000.0,100000.0,2414.9424
80,100000.0,100000.0,2414.9424
81,100000.0,100000.0,2414.9424
82,100000.0,100000.0,2414.9424
83,100000.0,100000.0,2414.9424
84,100000.0,100000.0,2414.9424
85,100000.0,100000.0,2414.9424
86,100000.0,100000.0,2414.9424
87,100000.0,100000.0,2414.9424
88,100000.0,100000.0,2414.9424
89,100000.0,100000.0,2414.9424
90,100000.0,100000.0,2414.9424
91,100000.0,100000.0,2414.9424
92,100000.0,100000.0,2414.9424
93,100021.4344,100000.0,2414.9424
94,100000.0,100000.0,2414.9424
95,100000.0,100000.0,2414.9424
96,100000.0,100000.0,2414.9424
97,100000.0,100000.0,2414.9424
98,11832.0,100000.0,2414.9424
99,100000.0,100000.0,2414.9424
100,100000.0,100000.0,2414.9424
101,100000.0,100000.0,2414.9424
102,100000.0,100000.0,2414.9424
103,100000.0,100000.0,2414.9424
