Epoch,Cost,Baseline,Best
0,233550.28,284202.0,233550.28
1,207476.0,100000.0,207476.0
2,249149.64,100000.0,207476.0
3,756711.0,100000.0,207476.0
4,100000.0,100000.0,100000.0
5,100000.0,100000.0,100000.0
6,100000.0,100000.0,100000.0
7,100000.0,100000.0,100000.0
8,100835.92,100000.0,100000.0
9,100000.0,100000.0,100000.0
10,100000.0,100000.0,100000.0
11,100000.0,100000.0,100000.0
12,100485.04,100000.0,100000.0
13,101238.4,100000.0,100000.0
14,102745.12,100000.0,100000.0
15,100681.12,100000.0,100000.0
16,100000.0,100000.0,100000.0
17,100000.0,100000.0,100000.0
18,111011.44,100000.0,100000.0
19,104396.32,100000.0,100000.0
20,106450.0,100000.0,100000.0
21,102817.36,100000.0,100000.0
22,102487.12,100000.0,100000.0
23,101723.44,100000.0,100000.0
24,102291.04,100000.0,100000.0
25,100000.0,100000.0,100000.0
26,100000.0,100000.0,100000.0
27,100856.56,100000.0,100000.0
28,100000.0,100000.0,100000.0
29,101506.72,100000.0,100000.0
30,101671.84,100000.0,100000.0
31,101197.12,100000.0,100000.0
32,100000.0,100000.0,100000.0
33,100000.0,100000.0,100000.0
34,100000.0,100000.0,100000.0
35,100000.0,100000.0,100000.0
36,100000.0,100000.0,100000.0
37,100423.12,100000.0,100000.0
38,100000.0,100000.0,100000.0
39,100000.0,100000.0,100000.0
40,101867.92,100000.0,100000.0
41,100000.0,100000.0,100000.0
42,100000.0,100000.0,100000.0
43,100000.0,100000.0,100000.0
44,100000.0,100000.0,100000.0
45,100000.0,100000.0,100000.0
46,100000.0,100000.0,100000.0
47,100000.0,100000.0,100000.0
48,100000.0,100000.0,100000.0
49,100000.0,100000.0,100000.0
50,100000.0,100000.0,100000.0
51,100000.0,100000.0,100000.0
52,100000.0,100000.0,100000.0
53,100412.8,100000.0,100000.0
54,100000.0,100000.0,100000.0
55,102776.08,100000.0,100000.0
56,100000.0,100000.0,100000.0
57,100000.0,100000.0,100000.0
58,101455.12,100000.0,100000.0
59,843273.12,100000.0,100000.0
60,100000.0,100000.0,100000.0
61,100000.0,100000.0,100000.0
62,100000.0,100000.0,100000.0
63,100000.0,100000.0,100000.0
64,100000.0,100000.0,100000.0
65,100000.0,100000.0,100000.0
66,100485.04,100000.0,100000.0
67,102352.96,100000.0,100000.0
68,100000.0,100000.0,100000.0
69,100000.0,100000.0,100000.0
70,100000.0,100000.0,100000.0
71,100000.0,100000.0,100000.0
72,100000.0,100000.0,100000.0
73,100000.0,100000.0,100000.0
74,100000.0,100000.0,100000.0
75,100000.0,100000.0,100000.0
76,100000.0,100000.0,100000.0
77,101021.68,100000.0,100000.0
78,100000.0,100000.0,100000.0
79,100000.0,100000.0,100000.0
80,100000.0,100000.0,100000.0
81,100000.0,100000.0,100000.0
82,100000.0,100000.0,100000.0
83,100000.0,100000.0,100000.0
84,100000.0,100000.0,100000.0
85,100000.0,100000.0,100000.0
86,100000.0,100000.0,100000.0
87,100000.0,100000.0,100000.0
88,100000.0,100000.0,100000.0
89,100000.0,100000.0,100000.0
90,100000.0,100000.0,100000.0
91,100000.0,100000.0,100000.0
92,100000.0,100000.0,100000.0
93,100000.0,100000.0,100000.0
94,100000.0,100000.0,100000.0
95,100000.0,100000.0,100000.0
96,100000.0,100000.0,100000.0
97,100000.0,100000.0,100000.0
98,100000.0,100000.0,100000.0
99,100000.0,100000.0,100000.0
100,100000.0,100000.0,100000.0
101,100000.0,100000.0,100000.0
102,100000.0,100000.0,100000.0
103,100000.0,100000.0,100000.0
104,100000.0,100000.0,100000.0
