Epoch,Cost,Baseline,Best
0,273518.76,268557.1,273518.76
1,354989.8,256541.22,273518.76
2,213213.88,151660.96,213213.88
3,740884.5,100000.0,213213.88
4,313636.88,256541.22,213213.88
5,321890.72,256541.22,213213.88
6,295140.28,256541.22,213213.88
7,333956.06,256541.22,213213.88
8,286512.48,256541.22,213213.88
9,315436.04000000004,256541.22,213213.88
10,310495.12,256541.22,213213.88
11,316415.8,256541.22,213213.88
12,288390.12,256541.22,213213.88
13,317284.68,256541.22,213213.88
14,307205.76,256541.22,213213.88
15,317121.54000000004,256541.22,213213.88
16,319566.14,256541.22,213213.88
17,370809.45999999996,256541.22,213213.88
18,324357.0,256541.22,213213.88
19,308881.5,267063.1,213213.88
20,335765.26,252531.2,213213.88
21,300266.08,251013.0,213213.88
22,283432.02,251013.0,213213.88
23,298492.22,251013.0,213213.88
24,276886.46,251013.0,213213.88
25,275921.28,251013.0,213213.88
26,273220.64,251013.0,213213.88
27,276033.9,251013.0,213213.88
28,288785.74,251013.0,213213.88
29,260488.42,251013.0,213213.88
30,274735.0,251013.0,213213.88
31,270067.24,251013.0,213213.88
32,262051.91999999998,251013.0,213213.88
33,244822.12,251013.0,213213.88
34,269745.72,251013.0,213213.88
35,269261.3,251013.0,213213.88
36,272624.36,251013.0,213213.88
37,283244.06,251013.0,213213.88
38,267408.6,251013.0,213213.88
39,271303.64,251013.0,213213.88
40,276053.08,251013.0,213213.88
41,256257.14,251013.0,213213.88
42,285277.0,251013.0,213213.88
43,288555.2,251013.0,213213.88
44,285016.52,251013.0,213213.88
45,241243.82,251013.0,213213.88
46,278023.72,251013.0,213213.88
47,278309.8,251013.0,213213.88
48,256018.6,251013.0,213213.88
49,279990.28,251013.0,213213.88
50,271707.96,251013.0,213213.88
51,267374.14,251013.0,213213.88
52,270936.94,251013.0,213213.88
53,282704.96,251013.0,213213.88
54,256410.66,251013.0,213213.88
55,279631.52,251013.0,213213.88
56,256992.62,251013.0,213213.88
57,286110.3,251013.0,213213.88
58,251830.18,251013.0,213213.88
59,263278.18,251013.0,213213.88
60,282573.78,251013.0,213213.88
61,279965.52,251013.0,213213.88
62,256190.08,251013.0,213213.88
63,262108.0,251013.0,213213.88
64,252092.92,251013.0,213213.88
65,251919.42,251013.0,213213.88
66,254460.68,251013.0,213213.88
67,264550.5,251013.0,213213.88
68,251371.28,251013.0,213213.88
69,251013.0,251013.0,213213.88
70,251013.0,251013.0,213213.88
71,252750.76,251013.0,213213.88
72,251615.0,251013.0,213213.88
73,251985.56,251013.0,213213.88
74,251162.9,251013.0,213213.88
75,251013.0,251013.0,213213.88
76,250678.6,251013.0,213213.88
77,251013.0,251013.0,213213.88
78,251013.0,251013.0,213213.88
79,251380.92,251013.0,213213.88
80,263947.14,251013.0,213213.88
81,251013.0,251013.0,213213.88
82,251677.7,251013.0,213213.88
83,251013.0,251013.0,213213.88
84,251562.92,251013.0,213213.88
85,251355.0,251013.0,213213.88
86,251013.0,251013.0,213213.88
87,251013.0,251013.0,213213.88
88,251791.8,251013.0,213213.88
89,251406.52,251013.0,213213.88
90,251013.0,251013.0,213213.88
91,249086.9,251013.0,213213.88
92,252615.86,251013.0,213213.88
93,251013.0,251013.0,213213.88
94,251013.0,251013.0,213213.88
95,284940.0,251013.0,213213.88
96,257664.6,251013.0,213213.88
97,251013.0,251013.0,213213.88
98,251380.92,251013.0,213213.88
99,251013.0,251013.0,213213.88
100,251013.0,251013.0,213213.88
101,251336.36,251013.0,213213.88
102,251063.64,251013.0,213213.88
