Epoch,Cost,Baseline,Best
0,249408.36,177669.12,249408.36
1,241600.0,241493.0,241600.0
2,241301.8,241493.0,241301.8
3,241493.0,241493.0,241301.8
4,241775.76,241493.0,241301.8
5,242543.28,241493.0,241301.8
6,241418.0,241493.0,241301.8
7,241493.0,241493.0,241301.8
8,241493.0,241493.0,241301.8
9,241493.0,241493.0,241301.8
10,241998.68,241493.0,241301.8
11,241493.0,241493.0,241301.8
12,239719.4,241493.0,239719.4
13,241493.0,241493.0,239719.4
14,241296.08,241493.0,239719.4
15,241493.0,241493.0,239719.4
16,241857.12,241493.0,239719.4
17,241493.0,241493.0,239719.4
18,241493.0,241493.0,239719.4
19,242407.88,241493.0,239719.4
20,241493.0,241493.0,239719.4
21,241124.28,241493.0,239719.4
22,242407.88,241493.0,239719.4
23,241232.0,241493.0,239719.4
24,241493.0,241493.0,239719.4
25,241438.0,241493.0,239719.4
26,241493.0,241493.0,239719.4
27,241493.0,241493.0,239719.4
28,241466.24,241493.0,239719.4
29,241493.0,241493.0,239719.4
30,241493.0,241493.0,239719.4
31,241775.92,241493.0,239719.4
32,242274.2,241493.0,239719.4
33,241493.0,241493.0,239719.4
34,246710.28,241493.0,239719.4
35,241493.0,241493.0,239719.4
36,242156.24,241493.0,239719.4
37,241493.0,241493.0,239719.4
38,241493.0,241493.0,239719.4
39,241493.0,241493.0,239719.4
40,241493.0,241493.0,239719.4
41,241493.0,241493.0,239719.4
42,241758.0,241493.0,239719.4
43,241493.0,241493.0,239719.4
44,241493.0,241493.0,239719.4
45,241493.0,241493.0,239719.4
46,240956.0,241493.0,239719.4
47,241493.0,241493.0,239719.4
48,241493.0,241493.0,239719.4
49,239388.0,241493.0,239388.0
50,241493.0,241493.0,239388.0
51,239443.0,241493.0,239388.0
52,241493.0,241493.0,239388.0
53,236924.0,241493.0,236924.0
54,244542.0,241493.0,236924.0
55,218005.0,241493.0,218005.0
56,182281.0,100000.0,182281.0
57,503599.76,100000.0,182281.0
58,342615.0,100000.0,182281.0
59,229332.0,100000.0,182281.0
60,216901.0,241493.0,182281.0
61,220825.0,241493.0,182281.0
62,230023.0,241493.0,182281.0
63,244706.0,241493.0,182281.0
64,245682.0,241493.0,182281.0
65,244144.0,241493.0,182281.0
66,237683.0,241493.0,182281.0
67,237420.0,241493.0,182281.0
68,241022.0,241493.0,182281.0
69,227698.0,241493.0,182281.0
70,241493.0,241493.0,182281.0
71,241538.0,241493.0,182281.0
72,242287.0,241493.0,182281.0
73,241493.0,241493.0,182281.0
74,241493.0,241493.0,182281.0
75,241493.0,241493.0,182281.0
76,247318.0,241493.0,182281.0
77,240740.0,241493.0,182281.0
78,239802.0,241493.0,182281.0
79,246679.0,241493.0,182281.0
80,241493.0,241493.0,182281.0
81,241418.0,241493.0,182281.0
82,241493.0,241493.0,182281.0
83,241493.0,241493.0,182281.0
84,241493.0,241493.0,182281.0
85,241493.0,241493.0,182281.0
86,241493.0,241493.0,182281.0
87,241493.0,241493.0,182281.0
88,241493.0,241493.0,182281.0
89,245828.0,241493.0,182281.0
90,242036.0,241493.0,182281.0
91,232079.0,241493.0,182281.0
92,241493.0,241493.0,182281.0
93,241493.0,241493.0,182281.0
94,241493.0,241493.0,182281.0
95,241493.0,241493.0,182281.0
96,240329.0,241493.0,182281.0
97,241493.0,241493.0,182281.0
98,241493.0,241493.0,182281.0
99,241493.0,241493.0,182281.0
100,241493.0,241493.0,182281.0
101,241461.0,241493.0,182281.0
102,241493.0,241493.0,182281.0
103,241493.0,241493.0,182281.0
104,241493.0,241493.0,182281.0
105,240295.0,241493.0,182281.0
106,241493.0,241493.0,182281.0
107,240956.0,241493.0,182281.0
108,241071.0,241493.0,182281.0
109,241183.0,241493.0,182281.0
110,241493.0,241493.0,182281.0
111,241493.0,241493.0,182281.0
112,241493.0,241493.0,182281.0
113,241493.0,241493.0,182281.0
114,229295.0,241493.0,182281.0
115,240151.0,241493.0,182281.0
116,241493.0,241493.0,182281.0
117,241493.0,241493.0,182281.0
118,246531.0,241493.0,182281.0
119,241554.0,241493.0,182281.0
120,241493.0,241493.0,182281.0
121,241232.0,241493.0,182281.0
122,241493.0,241493.0,182281.0
123,248028.0,241493.0,182281.0
124,230440.0,241493.0,182281.0
125,241493.0,241493.0,182281.0
126,241680.0,241493.0,182281.0
127,241493.0,241493.0,182281.0
128,241493.0,241493.0,182281.0
129,241420.0,241493.0,182281.0
130,241493.0,241493.0,182281.0
131,241493.0,241493.0,182281.0
132,242301.0,241493.0,182281.0
133,237683.0,241493.0,182281.0
134,241493.0,241493.0,182281.0
135,241447.0,241493.0,182281.0
136,241149.48,241493.0,182281.0
137,241059.0,241493.0,182281.0
138,241493.0,241493.0,182281.0
139,241493.0,241493.0,182281.0
140,234899.0,241493.0,182281.0
141,241493.0,241493.0,182281.0
142,241265.0,241493.0,182281.0
143,241493.0,241493.0,182281.0
144,240301.0,241493.0,182281.0
145,236522.0,241493.0,182281.0
146,221582.0,241493.0,182281.0
147,230594.0,241493.0,182281.0
148,224046.0,241493.0,182281.0
149,242046.0,241493.0,182281.0
150,241493.0,241493.0,182281.0
151,242411.0,241493.0,182281.0
152,241493.0,241493.0,182281.0
153,230765.0,241493.0,182281.0
154,241201.0,241493.0,182281.0
155,241493.0,241493.0,182281.0
156,240411.0,241493.0,182281.0
