Epoch,Cost,Baseline,Best
0,162705.68,150967.97999999998,162705.68
1,228761.7,100000.0,162705.68
2,167652.46,103460.22,162705.68
3,199438.12,103460.22,162705.68
4,103460.22,103460.22,103460.22
5,103460.22,103460.22,103460.22
6,103460.22,103460.22,103460.22
7,103460.22,103460.22,103460.22
8,103460.22,103460.22,103460.22
9,103460.22,103460.22,103460.22
10,103460.22,103460.22,103460.22
11,103460.22,103460.22,103460.22
12,202707.46,103460.22,103460.22
13,103460.22,103460.22,103460.22
14,103460.22,103460.22,103460.22
15,103460.22,103460.22,103460.22
16,103460.22,103460.22,103460.22
17,142099.53999999998,103460.22,103460.22
18,103460.22,103460.22,103460.22
19,103460.22,103460.22,103460.22
20,103460.22,103460.22,103460.22
21,103460.22,103460.22,103460.22
22,103460.22,103460.22,103460.22
23,103460.22,103460.22,103460.22
24,103460.22,103460.22,103460.22
25,103460.22,103460.22,103460.22
26,103460.22,103460.22,103460.22
27,103460.22,103460.22,103460.22
28,103460.22,103460.22,103460.22
29,103460.22,103460.22,103460.22
30,103460.22,103460.22,103460.22
31,103460.22,103460.22,103460.22
32,103460.22,103460.22,103460.22
33,103460.22,103460.22,103460.22
34,103460.22,103460.22,103460.22
35,103460.22,103460.22,103460.22
36,103460.22,103460.22,103460.22
37,103460.22,103460.22,103460.22
38,102604.14,103460.22,102604.14
39,103460.22,103460.22,102604.14
40,103460.22,103460.22,102604.14
41,103460.22,103460.22,102604.14
42,103460.22,103460.22,102604.14
43,103460.22,103460.22,102604.14
44,103460.22,103460.22,102604.14
45,103460.22,103460.22,102604.14
46,103460.22,103460.22,102604.14
47,103460.22,103460.22,102604.14
48,103460.22,103460.22,102604.14
49,103460.22,103460.22,102604.14
50,103460.22,103460.22,102604.14
51,103460.22,103460.22,102604.14
52,103460.22,103460.22,102604.14
53,103460.22,103460.22,102604.14
54,103460.22,103460.22,102604.14
55,103460.22,103460.22,102604.14
56,103460.22,103460.22,102604.14
57,103460.22,103460.22,102604.14
58,103460.22,103460.22,102604.14
59,103460.22,103460.22,102604.14
60,103460.22,103460.22,102604.14
61,103460.22,103460.22,102604.14
62,103460.22,103460.22,102604.14
63,103460.22,103460.22,102604.14
64,103460.22,103460.22,102604.14
65,103460.22,103460.22,102604.14
66,103460.22,103460.22,102604.14
67,103460.22,103460.22,102604.14
68,103460.22,103460.22,102604.14
69,103460.22,103460.22,102604.14
70,103460.22,103460.22,102604.14
71,103460.22,103460.22,102604.14
72,103460.22,103460.22,102604.14
73,103460.22,103460.22,102604.14
74,103460.22,103460.22,102604.14
75,103460.22,103460.22,102604.14
76,103460.22,103460.22,102604.14
77,103460.22,103460.22,102604.14
78,103460.22,103460.22,102604.14
79,103460.22,103460.22,102604.14
80,103460.22,103460.22,102604.14
81,103460.22,103460.22,102604.14
82,101807.09999999999,103460.22,101807.09999999999
83,103460.22,103460.22,101807.09999999999
84,103460.22,103460.22,101807.09999999999
85,103460.22,103460.22,101807.09999999999
86,103460.22,103460.22,101807.09999999999
87,103460.22,103460.22,101807.09999999999
88,103460.22,103460.22,101807.09999999999
89,103460.22,103460.22,101807.09999999999
90,103460.22,103460.22,101807.09999999999
91,103460.22,103460.22,101807.09999999999
92,103460.22,103460.22,101807.09999999999
93,103460.22,103460.22,101807.09999999999
94,103460.22,103460.22,101807.09999999999
95,103460.22,103460.22,101807.09999999999
96,103460.22,103460.22,101807.09999999999
97,103460.22,103460.22,101807.09999999999
98,103460.22,103460.22,101807.09999999999
99,103460.22,103460.22,101807.09999999999
100,103460.22,103460.22,101807.09999999999
101,103460.22,103460.22,101807.09999999999
102,103460.22,103460.22,101807.09999999999
103,103460.22,103460.22,101807.09999999999
104,103460.22,103460.22,101807.09999999999
105,103460.22,103460.22,101807.09999999999
106,103460.22,103460.22,101807.09999999999
107,103460.22,103460.22,101807.09999999999
108,103460.22,103460.22,101807.09999999999
109,103460.22,103460.22,101807.09999999999
110,103460.22,103460.22,101807.09999999999
111,103460.22,103460.22,101807.09999999999
112,103460.22,103460.22,101807.09999999999
113,103460.22,103460.22,101807.09999999999
114,103460.22,103460.22,101807.09999999999
115,103460.22,103460.22,101807.09999999999
116,103460.22,103460.22,101807.09999999999
117,103460.22,103460.22,101807.09999999999
118,103460.22,103460.22,101807.09999999999
119,103460.22,103460.22,101807.09999999999
120,103460.22,103460.22,101807.09999999999
121,103460.22,103460.22,101807.09999999999
122,103460.22,103460.22,101807.09999999999
123,103460.22,103460.22,101807.09999999999
124,103460.22,103460.22,101807.09999999999
125,103460.22,103460.22,101807.09999999999
126,103460.22,103460.22,101807.09999999999
127,103460.22,103460.22,101807.09999999999
128,103135.5,103460.22,101807.09999999999
129,103460.22,103460.22,101807.09999999999
130,103460.22,103460.22,101807.09999999999
131,103460.22,103460.22,101807.09999999999
132,103460.22,103460.22,101807.09999999999
133,103460.22,103460.22,101807.09999999999
134,103460.22,103460.22,101807.09999999999
135,103460.22,103460.22,101807.09999999999
136,103460.22,103460.22,101807.09999999999
137,103460.22,103460.22,101807.09999999999
138,103460.22,103460.22,101807.09999999999
139,103460.22,103460.22,101807.09999999999
140,103460.22,103460.22,101807.09999999999
141,103460.22,103460.22,101807.09999999999
142,103460.22,103460.22,101807.09999999999
143,103460.22,103460.22,101807.09999999999
144,103460.22,103460.22,101807.09999999999
145,103460.22,103460.22,101807.09999999999
146,103460.22,103460.22,101807.09999999999
147,103460.22,103460.22,101807.09999999999
148,103460.22,103460.22,101807.09999999999
149,103460.22,103460.22,101807.09999999999
150,103460.22,103460.22,101807.09999999999
151,103460.22,103460.22,101807.09999999999
152,103460.22,103460.22,101807.09999999999
153,103460.22,103460.22,101807.09999999999
154,103460.22,103460.22,101807.09999999999
155,103460.22,103460.22,101807.09999999999
156,103460.22,103460.22,101807.09999999999
157,103460.22,103460.22,101807.09999999999
158,103460.22,103460.22,101807.09999999999
159,103460.22,103460.22,101807.09999999999
160,103460.22,103460.22,101807.09999999999
161,100818.18,103460.22,100818.18
162,103460.22,103460.22,100818.18
163,103460.22,103460.22,100818.18
164,103460.22,103460.22,100818.18
165,103460.22,103460.22,100818.18
166,103460.22,103460.22,100818.18
167,103460.22,103460.22,100818.18
168,103460.22,103460.22,100818.18
169,103460.22,103460.22,100818.18
170,103460.22,103460.22,100818.18
171,103460.22,103460.22,100818.18
172,103460.22,103460.22,100818.18
173,103460.22,103460.22,100818.18
174,103460.22,103460.22,100818.18
175,102227.76,103460.22,100818.18
176,103460.22,103460.22,100818.18
177,102818.16,103460.22,100818.18
178,103460.22,103460.22,100818.18
179,102759.12,103460.22,100818.18
180,102670.56,103460.22,100818.18
181,102515.58,103460.22,100818.18
182,102058.02,103460.22,100818.18
183,119937.3,103460.22,100818.18
184,103460.22,103460.22,100818.18
185,103460.22,103460.22,100818.18
186,103460.22,103460.22,100818.18
187,103460.22,103460.22,100818.18
188,103460.22,103460.22,100818.18
189,103460.22,103460.22,100818.18
190,103460.22,103460.22,100818.18
191,103460.22,103460.22,100818.18
192,103460.22,103460.22,100818.18
193,103460.22,103460.22,100818.18
194,103460.22,103460.22,100818.18
195,103460.22,103460.22,100818.18
196,103460.22,103460.22,100818.18
197,103460.22,103460.22,100818.18
198,103460.22,103460.22,100818.18
199,103460.22,103460.22,100818.18
200,103460.22,103460.22,100818.18
201,103460.22,103460.22,100818.18
202,103460.22,103460.22,100818.18
203,103460.22,103460.22,100818.18
204,103460.22,103460.22,100818.18
205,103460.22,103460.22,100818.18
206,103460.22,103460.22,100818.18
207,103460.22,103460.22,100818.18
208,103460.22,103460.22,100818.18
209,103460.22,103460.22,100818.18
210,103460.22,103460.22,100818.18
211,103460.22,103460.22,100818.18
212,103460.22,103460.22,100818.18
213,103460.22,103460.22,100818.18
214,103460.22,103460.22,100818.18
215,103460.22,103460.22,100818.18
216,103460.22,103460.22,100818.18
217,103460.22,103460.22,100818.18
218,103460.22,103460.22,100818.18
219,103460.22,103460.22,100818.18
220,103460.22,103460.22,100818.18
221,103460.22,103460.22,100818.18
222,103460.22,103460.22,100818.18
223,103460.22,103460.22,100818.18
224,201563.56,103460.22,100818.18
225,103460.22,103460.22,100818.18
226,103460.22,103460.22,100818.18
227,103460.22,103460.22,100818.18
228,103460.22,103460.22,100818.18
229,103460.22,103460.22,100818.18
230,103460.22,103460.22,100818.18
231,103460.22,103460.22,100818.18
232,103460.22,103460.22,100818.18
233,103460.22,103460.22,100818.18
234,103460.22,103460.22,100818.18
235,103460.22,103460.22,100818.18
236,103460.22,103460.22,100818.18
237,103460.22,103460.22,100818.18
238,103460.22,103460.22,100818.18
239,103460.22,103460.22,100818.18
240,103460.22,103460.22,100818.18
241,103460.22,103460.22,100818.18
242,102759.12,103460.22,100818.18
