Epoch,Cost,Baseline,Best
0,174717.98,103985.2,174717.98
1,112906.72,103460.22,112906.72
2,103460.22,103460.22,103460.22
3,103460.22,103460.22,103460.22
4,103460.22,103460.22,103460.22
5,103460.22,103460.22,103460.22
6,103460.22,103460.22,103460.22
7,103460.22,103460.22,103460.22
8,103460.22,103460.22,103460.22
9,102574.62,103460.22,102574.62
10,103460.22,103460.22,102574.62
11,103460.22,103460.22,102574.62
12,103460.22,103460.22,102574.62
13,103460.22,103460.22,102574.62
14,103460.22,103460.22,102574.62
15,103460.22,103460.22,102574.62
16,103460.22,103460.22,102574.62
17,103460.22,103460.22,102574.62
18,103460.22,103460.22,102574.62
19,103460.22,103460.22,102574.62
20,103460.22,103460.22,102574.62
21,103460.22,103460.22,102574.62
22,103460.22,103460.22,102574.62
23,103460.22,103460.22,102574.62
24,203135.5,103460.22,102574.62
25,103460.22,103460.22,102574.62
26,103460.22,103460.22,102574.62
27,103460.22,103460.22,102574.62
28,102722.22,103460.22,102574.62
29,103260.95999999999,103460.22,102574.62
30,103460.22,103460.22,102574.62
31,102825.54,103460.22,102574.62
32,103460.22,103460.22,102574.62
33,109215.02,103460.22,102574.62
34,101379.06,103460.22,101379.06
35,103460.22,103460.22,101379.06
36,101888.28,103460.22,101379.06
37,103460.22,103460.22,101379.06
38,106227.64,103460.22,101379.06
39,103460.22,103460.22,101379.06
40,103460.22,103460.22,101379.06
41,103460.22,103460.22,101379.06
42,103460.22,103460.22,101379.06
43,103460.22,103460.22,101379.06
44,103460.22,103460.22,101379.06
45,103460.22,103460.22,101379.06
46,103460.22,103460.22,101379.06
47,103460.22,103460.22,101379.06
48,102796.02,103460.22,101379.06
49,103460.22,103460.22,101379.06
50,103460.22,103460.22,101379.06
51,100943.64,103460.22,100943.64
52,103460.22,103460.22,100943.64
53,103460.22,103460.22,100943.64
54,103460.22,103460.22,100943.64
55,103460.22,103460.22,100943.64
56,103460.22,103460.22,100943.64
57,103460.22,103460.22,100943.64
58,103460.22,103460.22,100943.64
59,103460.22,103460.22,100943.64
60,103460.22,103460.22,100943.64
61,103460.22,103460.22,100943.64
62,103460.22,103460.22,100943.64
63,103460.22,103460.22,100943.64
64,103460.22,103460.22,100943.64
65,103460.22,103460.22,100943.64
66,103460.22,103460.22,100943.64
67,103460.22,103460.22,100943.64
68,103460.22,103460.22,100943.64
69,102552.48,103460.22,100943.64
70,103460.22,103460.22,100943.64
71,103460.22,103460.22,100943.64
72,103460.22,103460.22,100943.64
73,102198.24,103460.22,100943.64
74,103460.22,103460.22,100943.64
75,103460.22,103460.22,100943.64
76,102574.62,103460.22,100943.64
77,103460.22,103460.22,100943.64
78,103460.22,103460.22,100943.64
79,103460.22,103460.22,100943.64
80,103460.22,103460.22,100943.64
81,102552.48,103460.22,100943.64
82,103460.22,103460.22,100943.64
83,103460.22,103460.22,100943.64
84,103460.22,103460.22,100943.64
85,105993.42,103460.22,100943.64
86,101615.22,103460.22,100943.64
87,103460.22,103460.22,100943.64
88,102500.81999999999,103460.22,100943.64
89,103460.22,103460.22,100943.64
90,103260.95999999999,103460.22,100943.64
91,102567.24,103460.22,100943.64
92,103460.22,103460.22,100943.64
93,103460.22,103460.22,100943.64
94,103460.22,103460.22,100943.64
95,103460.22,103460.22,100943.64
96,103460.22,103460.22,100943.64
97,124604.62,103460.22,100943.64
98,103460.22,103460.22,100943.64
99,103460.22,103460.22,100943.64
100,103460.22,103460.22,100943.64
101,103460.22,103460.22,100943.64
102,103460.22,103460.22,100943.64
103,103460.22,103460.22,100943.64
104,103460.22,103460.22,100943.64
105,103460.22,103460.22,100943.64
106,103460.22,103460.22,100943.64
107,103460.22,103460.22,100943.64
108,103460.22,103460.22,100943.64
109,103460.22,103460.22,100943.64
110,103460.22,103460.22,100943.64
111,103460.22,103460.22,100943.64
112,103460.22,103460.22,100943.64
113,103460.22,103460.22,100943.64
114,103460.22,103460.22,100943.64
115,103460.22,103460.22,100943.64
116,103460.22,103460.22,100943.64
117,103460.22,103460.22,100943.64
118,103460.22,103460.22,100943.64
119,103460.22,103460.22,100943.64
120,103460.22,103460.22,100943.64
121,103460.22,103460.22,100943.64
122,103460.22,103460.22,100943.64
123,103460.22,103460.22,100943.64
124,103460.22,103460.22,100943.64
125,103460.22,103460.22,100943.64
126,103460.22,103460.22,100943.64
127,103460.22,103460.22,100943.64
128,103460.22,103460.22,100943.64
129,103460.22,103460.22,100943.64
130,103460.22,103460.22,100943.64
131,103460.22,103460.22,100943.64
132,103460.22,103460.22,100943.64
133,103460.22,103460.22,100943.64
134,103460.22,103460.22,100943.64
135,103460.22,103460.22,100943.64
136,103460.22,103460.22,100943.64
137,103460.22,103460.22,100943.64
138,103460.22,103460.22,100943.64
139,103460.22,103460.22,100943.64
140,103460.22,103460.22,100943.64
141,103460.22,103460.22,100943.64
142,103460.22,103460.22,100943.64
143,103460.22,103460.22,100943.64
144,103460.22,103460.22,100943.64
145,103460.22,103460.22,100943.64
146,103460.22,103460.22,100943.64
147,103460.22,103460.22,100943.64
148,103460.22,103460.22,100943.64
149,103460.22,103460.22,100943.64
150,103460.22,103460.22,100943.64
151,103460.22,103460.22,100943.64
