Epoch,Cost,Baseline,Best
0,173655.82,550782.7,173655.82
1,101349.54,102272.04,101349.54
2,197844.03999999998,102272.04,101349.54
3,199386.46,102272.04,101349.54
4,102272.04,102272.04,101349.54
5,100936.26,102272.04,100936.26
6,102272.04,102272.04,100936.26
7,121719.5,102272.04,100936.26
8,100235.16,102272.04,100235.16
9,102272.04,102272.04,100235.16
10,133183.9,102272.04,100235.16
11,105726.74,102272.04,100235.16
12,100803.42,102272.04,100235.16
13,201903.03999999998,102272.04,100235.16
14,102272.04,102272.04,100235.16
15,102272.04,102272.04,100235.16
16,101917.8,102272.04,100235.16
17,102272.04,102272.04,100235.16
18,102272.04,102272.04,100235.16
19,102272.04,102272.04,100235.16
20,101866.14,102272.04,100235.16
21,102272.04,102272.04,100235.16
22,102272.04,102272.04,100235.16
23,100759.14,102272.04,100235.16
24,202117.06,102272.04,100235.16
25,102272.04,102272.04,100235.16
26,100803.42,102272.04,100235.16
27,102272.04,102272.04,100235.16
28,152011.3,102272.04,100235.16
29,100700.1,102272.04,100235.16
30,100493.45999999999,102272.04,100235.16
31,101903.04,102272.04,100235.16
32,102168.72,102272.04,100235.16
33,100471.31999999999,102272.04,100235.16
34,100574.64,102272.04,100235.16
35,106779.56,102272.04,100235.16
36,102272.04,102272.04,100235.16
37,102272.04,102272.04,100235.16
38,101570.94,102272.04,100235.16
39,99570.95999999999,102272.04,99570.95999999999
40,102272.04,102272.04,99570.95999999999
41,102272.04,102272.04,99570.95999999999
42,102272.04,102272.04,99570.95999999999
43,101836.62,102272.04,99570.95999999999
44,100847.7,102272.04,99570.95999999999
45,102272.04,102272.04,99570.95999999999
46,100803.42,102272.04,99570.95999999999
47,102272.04,102272.04,99570.95999999999
48,132756.82,102272.04,99570.95999999999
49,102272.04,102272.04,99570.95999999999
50,102272.04,102272.04,99570.95999999999
51,102272.04,102272.04,99570.95999999999
52,102272.04,102272.04,99570.95999999999
53,101917.8,102272.04,99570.95999999999
54,102272.04,102272.04,99570.95999999999
55,102272.04,102272.04,99570.95999999999
56,102272.04,102272.04,99570.95999999999
57,102272.04,102272.04,99570.95999999999
58,102272.04,102272.04,99570.95999999999
59,102272.04,102272.04,99570.95999999999
60,102272.04,102272.04,99570.95999999999
61,102272.04,102272.04,99570.95999999999
62,102272.04,102272.04,99570.95999999999
63,102272.04,102272.04,99570.95999999999
64,102272.04,102272.04,99570.95999999999
65,102272.04,102272.04,99570.95999999999
66,102272.04,102272.04,99570.95999999999
67,102272.04,102272.04,99570.95999999999
68,102272.04,102272.04,99570.95999999999
69,102272.04,102272.04,99570.95999999999
70,102272.04,102272.04,99570.95999999999
71,102272.04,102272.04,99570.95999999999
72,102272.04,102272.04,99570.95999999999
73,102272.04,102272.04,99570.95999999999
74,101290.5,102272.04,99570.95999999999
75,102272.04,102272.04,99570.95999999999
76,102272.04,102272.04,99570.95999999999
77,101010.06,102272.04,99570.95999999999
78,102272.04,102272.04,99570.95999999999
79,102272.04,102272.04,99570.95999999999
80,102272.04,102272.04,99570.95999999999
81,102272.04,102272.04,99570.95999999999
82,102272.04,102272.04,99570.95999999999
83,102272.04,102272.04,99570.95999999999
84,102272.04,102272.04,99570.95999999999
85,102272.04,102272.04,99570.95999999999
86,102272.04,102272.04,99570.95999999999
87,101829.24,102272.04,99570.95999999999
88,102272.04,102272.04,99570.95999999999
89,102272.04,102272.04,99570.95999999999
90,102272.04,102272.04,99570.95999999999
91,102272.04,102272.04,99570.95999999999
92,102272.04,102272.04,99570.95999999999
93,102272.04,102272.04,99570.95999999999
94,102272.04,102272.04,99570.95999999999
95,102272.04,102272.04,99570.95999999999
96,102272.04,102272.04,99570.95999999999
97,102272.04,102272.04,99570.95999999999
98,102272.04,102272.04,99570.95999999999
99,102272.04,102272.04,99570.95999999999
100,102272.04,102272.04,99570.95999999999
101,102272.04,102272.04,99570.95999999999
102,102272.04,102272.04,99570.95999999999
103,102272.04,102272.04,99570.95999999999
104,102272.04,102272.04,99570.95999999999
105,102272.04,102272.04,99570.95999999999
106,102272.04,102272.04,99570.95999999999
107,102272.04,102272.04,99570.95999999999
108,102272.04,102272.04,99570.95999999999
109,102272.04,102272.04,99570.95999999999
110,102272.04,102272.04,99570.95999999999
111,101275.74,102272.04,99570.95999999999
112,102272.04,102272.04,99570.95999999999
113,102272.04,102272.04,99570.95999999999
114,102272.04,102272.04,99570.95999999999
115,102272.04,102272.04,99570.95999999999
116,102272.04,102272.04,99570.95999999999
117,102272.04,102272.04,99570.95999999999
118,102272.04,102272.04,99570.95999999999
119,102272.04,102272.04,99570.95999999999
120,102272.04,102272.04,99570.95999999999
121,102272.04,102272.04,99570.95999999999
122,102272.04,102272.04,99570.95999999999
123,102272.04,102272.04,99570.95999999999
124,102272.04,102272.04,99570.95999999999
125,102272.04,102272.04,99570.95999999999
126,102272.04,102272.04,99570.95999999999
127,102272.04,102272.04,99570.95999999999
128,102272.04,102272.04,99570.95999999999
129,102272.04,102272.04,99570.95999999999
130,101275.74,102272.04,99570.95999999999
131,101401.2,102272.04,99570.95999999999
132,102272.04,102272.04,99570.95999999999
133,102272.04,102272.04,99570.95999999999
134,102272.04,102272.04,99570.95999999999
135,102272.04,102272.04,99570.95999999999
136,102272.04,102272.04,99570.95999999999
137,102272.04,102272.04,99570.95999999999
138,102272.04,102272.04,99570.95999999999
139,102272.04,102272.04,99570.95999999999
