Epoch,Cost,Baseline,Best
0,181142.6,100000.0,181142.6
1,185238.78,176256.78,181142.6
2,189102.91999999998,106795.98,181142.6
3,216818.06,192220.0,181142.6
4,194558.7,192220.0,181142.6
5,192220.0,192220.0,181142.6
6,192220.0,192220.0,181142.6
7,192220.0,192220.0,181142.6
8,192220.0,192220.0,181142.6
9,192220.0,192220.0,181142.6
10,192220.0,192220.0,181142.6
11,192097.98,192220.0,181142.6
12,192220.0,192220.0,181142.6
13,191978.76,192220.0,181142.6
14,192220.0,192220.0,181142.6
15,192220.0,192220.0,181142.6
16,192220.0,192220.0,181142.6
17,192220.0,192220.0,181142.6
18,192220.0,192220.0,181142.6
19,192220.0,192220.0,181142.6
20,192220.0,192220.0,181142.6
21,192220.0,192220.0,181142.6
22,191731.0,192220.0,181142.6
23,201541.0,192220.0,181142.6
24,191402.92,192220.0,181142.6
25,192220.0,192220.0,181142.6
26,192220.0,192220.0,181142.6
27,192220.0,192220.0,181142.6
28,192220.0,192220.0,181142.6
29,192635.8,192220.0,181142.6
30,192220.0,192220.0,181142.6
31,192220.0,192220.0,181142.6
32,192220.0,192220.0,181142.6
33,191978.0,192220.0,181142.6
34,193027.9,192220.0,181142.6
35,192220.0,192220.0,181142.6
36,192220.0,192220.0,181142.6
37,192220.0,192220.0,181142.6
38,192220.0,192220.0,181142.6
39,192220.0,192220.0,181142.6
40,192220.0,192220.0,181142.6
41,192220.0,192220.0,181142.6
42,192471.0,192220.0,181142.6
43,192220.0,192220.0,181142.6
44,192220.0,192220.0,181142.6
45,192220.0,192220.0,181142.6
46,194764.66,192220.0,181142.6
47,192220.0,192220.0,181142.6
48,192220.0,192220.0,181142.6
49,192220.0,192220.0,181142.6
50,192220.0,192220.0,181142.6
51,192220.0,192220.0,181142.6
52,192220.0,192220.0,181142.6
53,192220.0,192220.0,181142.6
54,192220.0,192220.0,181142.6
55,192220.0,192220.0,181142.6
56,192220.0,192220.0,181142.6
57,192220.0,192220.0,181142.6
58,192220.0,192220.0,181142.6
59,192220.0,192220.0,181142.6
60,192220.0,192220.0,181142.6
61,192220.0,192220.0,181142.6
62,192220.0,192220.0,181142.6
63,192220.0,192220.0,181142.6
64,190012.0,192220.0,181142.6
65,192220.0,192220.0,181142.6
66,192220.0,192220.0,181142.6
67,192220.0,192220.0,181142.6
68,190951.0,192220.0,181142.6
69,192220.0,192220.0,181142.6
70,192220.0,192220.0,181142.6
71,192220.0,192220.0,181142.6
72,192220.0,192220.0,181142.6
73,192220.0,192220.0,181142.6
74,192220.0,192220.0,181142.6
75,192220.0,192220.0,181142.6
76,192220.0,192220.0,181142.6
77,192220.0,192220.0,181142.6
78,192220.0,192220.0,181142.6
79,192220.0,192220.0,181142.6
80,191320.0,192220.0,181142.6
81,192220.0,192220.0,181142.6
82,192220.0,192220.0,181142.6
83,192347.0,192220.0,181142.6
84,192220.0,192220.0,181142.6
85,191394.0,192220.0,181142.6
86,192220.0,192220.0,181142.6
87,192220.0,192220.0,181142.6
88,192071.0,192220.0,181142.6
89,192220.0,192220.0,181142.6
90,192220.0,192220.0,181142.6
91,192220.0,192220.0,181142.6
92,192220.0,192220.0,181142.6
93,192220.0,192220.0,181142.6
94,190085.0,192220.0,181142.6
95,192220.0,192220.0,181142.6
96,191891.0,192220.0,181142.6
97,192220.0,192220.0,181142.6
98,192220.0,192220.0,181142.6
99,192220.0,192220.0,181142.6
100,192220.0,192220.0,181142.6
101,192220.0,192220.0,181142.6
