Epoch,Cost,Baseline,Best
0,191655.53999999998,106795.98,191655.53999999998
1,183900.78,192220.0,183900.78
2,179038.0,100000.0,179038.0
3,216368.0,100000.0,179038.0
4,294085.0,100000.0,179038.0
5,235086.0,100000.0,179038.0
6,351047.0,100000.0,179038.0
7,100000.0,100000.0,100000.0
8,481467.0,100000.0,100000.0
9,100000.0,100000.0,100000.0
10,100000.0,100000.0,100000.0
11,100000.0,100000.0,100000.0
12,100000.0,100000.0,100000.0
13,101158.66,100000.0,100000.0
14,100000.0,100000.0,100000.0
15,100000.0,100000.0,100000.0
16,100000.0,100000.0,100000.0
17,100000.0,100000.0,100000.0
18,100000.0,100000.0,100000.0
19,100000.0,100000.0,100000.0
20,100000.0,100000.0,100000.0
21,100000.0,100000.0,100000.0
22,100000.0,100000.0,100000.0
23,100000.0,100000.0,100000.0
24,100000.0,100000.0,100000.0
25,100000.0,100000.0,100000.0
26,100000.0,100000.0,100000.0
27,101158.66,100000.0,100000.0
28,633177.0,100000.0,100000.0
29,100000.0,100000.0,100000.0
30,100000.0,100000.0,100000.0
31,100000.0,100000.0,100000.0
32,100000.0,100000.0,100000.0
33,100000.0,100000.0,100000.0
34,100000.0,100000.0,100000.0
35,100000.0,100000.0,100000.0
36,100000.0,100000.0,100000.0
37,100000.0,100000.0,100000.0
38,100000.0,100000.0,100000.0
39,100000.0,100000.0,100000.0
40,100789.66,100000.0,100000.0
41,100000.0,100000.0,100000.0
42,100664.2,100000.0,100000.0
43,100000.0,100000.0,100000.0
44,101638.36,100000.0,100000.0
45,103313.62,100000.0,100000.0
46,100000.0,100000.0,100000.0
47,100000.0,100000.0,100000.0
48,100000.0,100000.0,100000.0
49,100000.0,100000.0,100000.0
50,100509.22,100000.0,100000.0
51,101202.94,100000.0,100000.0
52,102804.4,100000.0,100000.0
53,100000.0,100000.0,100000.0
54,100000.0,100000.0,100000.0
55,100000.0,100000.0,100000.0
56,100000.0,100000.0,100000.0
57,100000.0,100000.0,100000.0
58,100000.0,100000.0,100000.0
59,100000.0,100000.0,100000.0
60,100000.0,100000.0,100000.0
61,100000.0,100000.0,100000.0
62,100000.0,100000.0,100000.0
63,100789.66,100000.0,100000.0
64,100000.0,100000.0,100000.0
65,100000.0,100000.0,100000.0
66,100000.0,100000.0,100000.0
67,100000.0,100000.0,100000.0
68,100000.0,100000.0,100000.0
69,100000.0,100000.0,100000.0
70,100000.0,100000.0,100000.0
71,100000.0,100000.0,100000.0
72,100000.0,100000.0,100000.0
73,100000.0,100000.0,100000.0
74,100000.0,100000.0,100000.0
75,100000.0,100000.0,100000.0
76,100000.0,100000.0,100000.0
77,100000.0,100000.0,100000.0
78,100000.0,100000.0,100000.0
79,100000.0,100000.0,100000.0
80,100000.0,100000.0,100000.0
81,100000.0,100000.0,100000.0
82,100000.0,100000.0,100000.0
83,100000.0,100000.0,100000.0
84,100000.0,100000.0,100000.0
85,100000.0,100000.0,100000.0
86,100000.0,100000.0,100000.0
87,100000.0,100000.0,100000.0
88,542934.0,100000.0,100000.0
89,100856.08,100000.0,100000.0
90,100000.0,100000.0,100000.0
91,100000.0,100000.0,100000.0
92,100000.0,100000.0,100000.0
93,100000.0,100000.0,100000.0
94,102110.68,100000.0,100000.0
95,100000.0,100000.0,100000.0
96,101638.36,100000.0,100000.0
97,100892.98,100000.0,100000.0
98,101070.1,100000.0,100000.0
99,101424.34,100000.0,100000.0
100,102900.34,100000.0,100000.0
101,103239.82,100000.0,100000.0
102,102693.7,100000.0,100000.0
103,100937.26,100000.0,100000.0
104,101453.86,100000.0,100000.0
105,102686.32,100000.0,100000.0
106,102619.9,100000.0,100000.0
107,106885.54,100000.0,100000.0
