Epoch,Cost,Baseline,Best
0,545809.4072,156832.9744,545809.4072
1,734427.0,100000.0,545809.4072
2,1020287.72,100000.0,545809.4072
3,1243970.0,100000.0,545809.4072
4,100000.0,100000.0,100000.0
5,100000.0,100000.0,100000.0
6,100000.0,100000.0,100000.0
7,100000.0,100000.0,100000.0
8,100000.0,100000.0,100000.0
9,100000.0,100000.0,100000.0
10,100000.0,100000.0,100000.0
11,100000.0,100000.0,100000.0
12,101993.44,100000.0,100000.0
13,100000.0,100000.0,100000.0
14,100000.0,100000.0,100000.0
15,100000.0,100000.0,100000.0
16,100000.0,100000.0,100000.0
17,101993.44,100000.0,100000.0
18,100000.0,100000.0,100000.0
19,100000.0,100000.0,100000.0
20,2718303.0,100000.0,100000.0
21,100000.0,100000.0,100000.0
22,100000.0,100000.0,100000.0
23,100000.0,100000.0,100000.0
24,102501.7672,100000.0,100000.0
25,100996.72,100000.0,100000.0
26,100000.0,100000.0,100000.0
27,100000.0,100000.0,100000.0
28,101993.44,100000.0,100000.0
29,100996.72,100000.0,100000.0
30,104993.5672,100000.0,100000.0
31,100000.0,100000.0,100000.0
32,100996.72,100000.0,100000.0
33,101495.08,100000.0,100000.0
34,101495.08,100000.0,100000.0
35,100996.72,100000.0,100000.0
36,101993.44,100000.0,100000.0
37,102990.16,100000.0,100000.0
38,101495.08,100000.0,100000.0
39,100996.72,100000.0,100000.0
40,103986.88,100000.0,100000.0
41,103488.52,100000.0,100000.0
42,101495.08,100000.0,100000.0
43,100996.72,100000.0,100000.0
44,100996.72,100000.0,100000.0
45,100996.72,100000.0,100000.0
46,100996.72,100000.0,100000.0
47,100000.0,100000.0,100000.0
48,100000.0,100000.0,100000.0
49,101993.44,100000.0,100000.0
50,100000.0,100000.0,100000.0
51,103488.52,100000.0,100000.0
52,101993.44,100000.0,100000.0
53,102491.8,100000.0,100000.0
54,100996.72,100000.0,100000.0
55,102990.16,100000.0,100000.0
56,102491.8,100000.0,100000.0
57,100000.0,100000.0,100000.0
58,101495.08,100000.0,100000.0
59,100000.0,100000.0,100000.0
60,100996.72,100000.0,100000.0
61,100000.0,100000.0,100000.0
62,101495.08,100000.0,100000.0
63,100996.72,100000.0,100000.0
64,100996.72,100000.0,100000.0
65,100000.0,100000.0,100000.0
66,100000.0,100000.0,100000.0
67,100996.72,100000.0,100000.0
68,102491.8,100000.0,100000.0
69,100000.0,100000.0,100000.0
70,100000.0,100000.0,100000.0
71,100000.0,100000.0,100000.0
72,100000.0,100000.0,100000.0
73,100996.72,100000.0,100000.0
74,102990.16,100000.0,100000.0
75,100000.0,100000.0,100000.0
76,100000.0,100000.0,100000.0
77,103986.88,100000.0,100000.0
78,100000.0,100000.0,100000.0
79,100000.0,100000.0,100000.0
80,100000.0,100000.0,100000.0
81,100000.0,100000.0,100000.0
82,100000.0,100000.0,100000.0
83,103488.52,100000.0,100000.0
84,100000.0,100000.0,100000.0
85,100000.0,100000.0,100000.0
86,102501.7672,100000.0,100000.0
87,102491.8,100000.0,100000.0
88,100000.0,100000.0,100000.0
89,100000.0,100000.0,100000.0
90,100996.72,100000.0,100000.0
91,100000.0,100000.0,100000.0
92,100000.0,100000.0,100000.0
93,100000.0,100000.0,100000.0
94,100000.0,100000.0,100000.0
95,100000.0,100000.0,100000.0
96,100000.0,100000.0,100000.0
97,100000.0,100000.0,100000.0
98,100000.0,100000.0,100000.0
99,100000.0,100000.0,100000.0
100,100000.0,100000.0,100000.0
101,100000.0,100000.0,100000.0
102,100000.0,100000.0,100000.0
103,100000.0,100000.0,100000.0
104,100000.0,100000.0,100000.0
