Epoch,Cost,Baseline,Best
0,21793.754,100000.0,21793.754
1,27310.876,24842.856,21793.754
2,25836.012,24842.856,21793.754
3,24700.23,24842.856,21793.754
4,24842.856,24842.856,21793.754
5,24700.23,24842.856,21793.754
6,27215.774,24842.856,21793.754
7,24713.196,24842.856,21793.754
8,24687.264,24842.856,21793.754
9,24842.856,24842.856,21793.754
10,24842.856,24842.856,21793.754
11,24700.23,24842.856,21793.754
12,24842.856,24842.856,21793.754
13,24842.856,24842.856,21793.754
14,25199.536,24842.856,21793.754
15,24842.856,24842.856,21793.754
16,24842.856,24842.856,21793.754
17,24739.128,24842.856,21793.754
18,24842.856,24842.856,21793.754
19,124765.06,24842.856,21793.754
20,24842.856,24842.856,21793.754
21,24842.856,24842.856,21793.754
22,24700.23,24842.856,21793.754
23,25171.536,24842.856,21793.754
24,24700.23,24842.856,21793.754
25,24687.264,24842.856,21793.754
26,24842.856,24842.856,21793.754
27,24842.856,24842.856,21793.754
28,24687.264,24842.856,21793.754
29,26851.536,24842.856,21793.754
30,24700.23,24842.856,21793.754
31,26149.862,24842.856,21793.754
32,24842.856,24842.856,21793.754
33,27385.046000000002,24842.856,21793.754
34,25264.366,24842.856,21793.754
35,26419.284,24842.856,21793.754
36,24842.856,24842.856,21793.754
37,24842.856,24842.856,21793.754
38,24674.298,24842.856,21793.754
39,24842.856,24842.856,21793.754
40,24842.856,24842.856,21793.754
41,24842.856,24842.856,21793.754
42,27549.468,24842.856,21793.754
43,24842.856,24842.856,21793.754
44,24842.856,24842.856,21793.754
45,24842.856,24842.856,21793.754
46,24842.856,24842.856,21793.754
47,24842.856,24842.856,21793.754
48,24842.856,24842.856,21793.754
49,24842.856,24842.856,21793.754
50,24713.196,24842.856,21793.754
51,24842.856,24842.856,21793.754
52,24842.856,24842.856,21793.754
53,24842.856,24842.856,21793.754
54,24842.856,24842.856,21793.754
55,24842.856,24842.856,21793.754
56,24842.856,24842.856,21793.754
57,24713.196,24842.856,21793.754
58,24842.856,24842.856,21793.754
59,24842.856,24842.856,21793.754
60,24842.856,24842.856,21793.754
61,24842.856,24842.856,21793.754
62,24842.856,24842.856,21793.754
63,24739.128,24842.856,21793.754
64,24842.856,24842.856,21793.754
65,24842.856,24842.856,21793.754
66,24842.856,24842.856,21793.754
67,24842.856,24842.856,21793.754
68,24842.856,24842.856,21793.754
69,24842.856,24842.856,21793.754
70,24842.856,24842.856,21793.754
71,24842.856,24842.856,21793.754
72,24726.162,24842.856,21793.754
73,24842.856,24842.856,21793.754
74,24842.856,24842.856,21793.754
75,24842.856,24842.856,21793.754
76,24842.856,24842.856,21793.754
77,24842.856,24842.856,21793.754
78,24842.856,24842.856,21793.754
79,24726.162,24842.856,21793.754
80,24842.856,24842.856,21793.754
81,24842.856,24842.856,21793.754
82,24842.856,24842.856,21793.754
83,24842.856,24842.856,21793.754
84,24842.856,24842.856,21793.754
85,24842.856,24842.856,21793.754
86,24842.856,24842.856,21793.754
87,24842.856,24842.856,21793.754
88,24842.856,24842.856,21793.754
89,24687.264,24842.856,21793.754
90,24752.094,24842.856,21793.754
91,24842.856,24842.856,21793.754
92,24842.856,24842.856,21793.754
93,24842.856,24842.856,21793.754
94,24842.856,24842.856,21793.754
95,24842.856,24842.856,21793.754
96,24842.856,24842.856,21793.754
97,24842.856,24842.856,21793.754
98,24842.856,24842.856,21793.754
99,24726.162,24842.856,21793.754
100,24842.856,24842.856,21793.754
101,24726.162,24842.856,21793.754
