Epoch,Cost,Baseline,Best
0,24263.446,100181.524,24263.446
1,124700.23,24842.856,24263.446
2,123649.984,24842.856,24263.446
3,120097.3,24842.856,24263.446
4,106651.558,100000.0,24263.446
5,102852.52,100000.0,24263.446
6,100207.456,100000.0,24263.446
7,100233.388,100000.0,24263.446
8,100142.626,100000.0,24263.446
9,100142.626,100000.0,24263.446
10,100246.354,100000.0,24263.446
11,100116.694,100000.0,24263.446
12,100207.456,100000.0,24263.446
13,70137.558,100000.0,24263.446
14,100000.0,100000.0,24263.446
15,100103.728,100000.0,24263.446
16,100233.388,100000.0,24263.446
17,100000.0,100000.0,24263.446
18,100168.558,100000.0,24263.446
19,100000.0,100000.0,24263.446
20,100077.796,100000.0,24263.446
21,100000.0,100000.0,24263.446
22,100285.252,100000.0,24263.446
23,100000.0,100000.0,24263.446
24,100168.558,100000.0,24263.446
25,59136.0,100000.0,24263.446
26,100000.0,100000.0,24263.446
27,90938.694,100000.0,24263.446
28,100142.626,100000.0,24263.446
29,100000.0,100000.0,24263.446
30,100000.0,100000.0,24263.446
31,100000.0,100000.0,24263.446
32,64458.762,100000.0,24263.446
33,45441.0,100000.0,24263.446
34,37131.592,100000.0,24263.446
35,41190.0,100000.0,24263.446
36,21796.0,100000.0,21796.0
37,20669.0,100000.0,20669.0
38,25848.0,100000.0,20669.0
39,34278.694,100000.0,20669.0
40,100000.0,100000.0,20669.0
41,63561.0,100000.0,20669.0
42,100155.592,100000.0,20669.0
43,79815.0,100000.0,20669.0
44,100000.0,100000.0,20669.0
45,100000.0,100000.0,20669.0
46,100000.0,100000.0,20669.0
47,100000.0,100000.0,20669.0
48,53403.0,100000.0,20669.0
49,100000.0,100000.0,20669.0
50,79815.0,100000.0,20669.0
51,100103.728,100000.0,20669.0
52,100000.0,100000.0,20669.0
53,100000.0,100000.0,20669.0
54,100000.0,100000.0,20669.0
55,100000.0,100000.0,20669.0
56,100103.728,100000.0,20669.0
57,85950.0,100000.0,20669.0
58,100000.0,100000.0,20669.0
59,100000.0,100000.0,20669.0
60,100000.0,100000.0,20669.0
61,100000.0,100000.0,20669.0
62,100285.252,100000.0,20669.0
63,100220.422,100000.0,20669.0
64,100000.0,100000.0,20669.0
65,91036.626,100000.0,20669.0
66,100000.0,100000.0,20669.0
67,52830.0,100000.0,20669.0
68,100000.0,100000.0,20669.0
69,100000.0,100000.0,20669.0
70,100000.0,100000.0,20669.0
71,91179.0,100000.0,20669.0
72,100000.0,100000.0,20669.0
73,61473.0,100000.0,20669.0
74,100000.0,100000.0,20669.0
75,100000.0,100000.0,20669.0
76,100000.0,100000.0,20669.0
77,100000.0,100000.0,20669.0
78,100000.0,100000.0,20669.0
79,100103.728,100000.0,20669.0
80,100000.0,100000.0,20669.0
81,100142.626,100000.0,20669.0
82,100000.0,100000.0,20669.0
83,100000.0,100000.0,20669.0
84,100000.0,100000.0,20669.0
85,43109.0,100000.0,20669.0
86,100000.0,100000.0,20669.0
87,100000.0,100000.0,20669.0
88,83724.0,100000.0,20669.0
89,100000.0,100000.0,20669.0
90,100000.0,100000.0,20669.0
91,46344.0,100000.0,20669.0
92,42225.0,100000.0,20669.0
93,100000.0,100000.0,20669.0
94,59886.0,100000.0,20669.0
95,51471.0,100000.0,20669.0
96,35010.0,100000.0,20669.0
97,78798.0,100000.0,20669.0
98,35349.0,100000.0,20669.0
99,47770.0,100000.0,20669.0
100,23855.0,100000.0,20669.0
101,29725.0,100000.0,20669.0
102,26000.0,100000.0,20669.0
103,23539.0,100000.0,20669.0
104,20770.592,100000.0,20669.0
105,19341.0,100000.0,19341.0
106,18529.0,100000.0,18529.0
107,17666.0,100000.0,17666.0
108,18084.0,100000.0,17666.0
109,18760.0,100000.0,17666.0
110,18164.0,100000.0,17666.0
111,17818.0,100000.0,17666.0
112,19525.0,100000.0,17666.0
113,17942.0,19264.0,17666.0
114,19714.0,19264.0,17666.0
115,17415.0,19264.0,17415.0
116,20521.0,19264.0,17415.0
117,20354.0,19264.0,17415.0
118,18702.0,19264.0,17415.0
119,18217.0,19264.0,17415.0
120,19411.0,19264.0,17415.0
121,19757.0,19264.0,17415.0
122,18827.0,19264.0,17415.0
123,20129.0,19264.0,17415.0
124,18321.0,19264.0,17415.0
125,18293.0,19264.0,17415.0
126,19264.0,19264.0,17415.0
127,19277.0,19264.0,17415.0
128,20441.0,19264.0,17415.0
129,19264.0,19264.0,17415.0
130,19264.0,19264.0,17415.0
131,19308.0,19264.0,17415.0
132,19126.0,19264.0,17415.0
133,20205.0,19264.0,17415.0
134,20257.0,19264.0,17415.0
135,19164.0,19264.0,17415.0
136,19264.0,19264.0,17415.0
137,20311.0,19264.0,17415.0
138,19264.0,19264.0,17415.0
139,19246.0,19264.0,17415.0
140,18601.0,19264.0,17415.0
141,19037.0,19264.0,17415.0
142,18065.0,19264.0,17415.0
143,19255.0,19264.0,17415.0
144,20719.0,19264.0,17415.0
145,19704.0,19264.0,17415.0
146,19264.0,19264.0,17415.0
147,19453.0,19264.0,17415.0
148,19264.0,19264.0,17415.0
149,19120.0,19264.0,17415.0
150,19163.0,19264.0,17415.0
151,19588.0,19264.0,17415.0
152,19264.0,19264.0,17415.0
153,19288.0,19264.0,17415.0
154,19264.0,19264.0,17415.0
155,19264.0,19264.0,17415.0
156,19485.0,19264.0,17415.0
157,19264.0,19264.0,17415.0
158,19264.0,19264.0,17415.0
159,20394.0,19264.0,17415.0
160,19325.0,19264.0,17415.0
161,19264.0,19264.0,17415.0
162,19264.0,19264.0,17415.0
163,19264.0,19264.0,17415.0
164,19058.0,19264.0,17415.0
165,19255.0,19264.0,17415.0
166,19264.0,19264.0,17415.0
167,19264.0,19264.0,17415.0
168,19264.0,19264.0,17415.0
169,19264.0,19264.0,17415.0
170,19204.0,19264.0,17415.0
171,19264.0,19264.0,17415.0
172,19280.0,19264.0,17415.0
173,19264.0,19264.0,17415.0
174,19287.0,19264.0,17415.0
175,18789.0,19264.0,17415.0
