Epoch,Cost,Baseline,Best
0,74433.54,100000.0,74433.54
1,63295.58,65884.0,63295.58
2,123286.0,100000.0,63295.58
3,59973.14,100000.0,59973.14
4,70001.1,69552.0,59973.14
5,67338.54,69552.0,59973.14
6,69026.7,69552.0,59973.14
7,71037.96,69552.0,59973.14
8,68535.18,69552.0,59973.14
9,67680.12,69552.0,59973.14
10,67834.84,69552.0,59973.14
11,70353.66,69552.0,59973.14
12,71003.96,69552.0,59973.14
13,69552.0,69552.0,59973.14
14,65316.04,69552.0,59973.14
15,69963.06,69552.0,59973.14
16,69658.42,69552.0,59973.14
17,69231.86,69552.0,59973.14
18,69494.32,69552.0,59973.14
19,69552.0,69552.0,59973.14
20,69552.0,69552.0,59973.14
21,69732.38,69552.0,59973.14
22,69552.0,69552.0,59973.14
23,69183.4,69552.0,59973.14
24,66837.66,69552.0,59973.14
25,68916.42,69552.0,59973.14
26,68556.14,69552.0,59973.14
27,66654.62,69552.0,59973.14
28,69649.48,69552.0,59973.14
29,70366.32,69552.0,59973.14
30,69777.22,69552.0,59973.14
31,72812.34,69552.0,59973.14
32,71201.18,69552.0,59973.14
33,70716.36,64993.02,59973.14
34,66060.86,40685.94,59973.14
35,70454.1,69552.0,59973.14
36,68979.5,69552.0,59973.14
37,72874.52,69552.0,59973.14
38,69440.76,69552.0,59973.14
39,69574.9,69552.0,59973.14
40,69096.92,69552.0,59973.14
41,69552.0,69552.0,59973.14
42,69552.0,69552.0,59973.14
43,67988.58,69552.0,59973.14
44,69562.04,69552.0,59973.14
45,73323.06,69552.0,59973.14
46,66357.14,69552.0,59973.14
47,69552.0,69552.0,59973.14
48,69797.06,69552.0,59973.14
49,69552.0,69552.0,59973.14
50,69552.0,69552.0,59973.14
51,69552.0,69552.0,59973.14
52,69552.0,69552.0,59973.14
53,69552.0,69552.0,59973.14
54,69552.0,69552.0,59973.14
55,69552.0,69552.0,59973.14
56,69658.42,69552.0,59973.14
57,69552.0,69552.0,59973.14
58,69552.0,69552.0,59973.14
59,69552.0,69552.0,59973.14
60,69552.0,69552.0,59973.14
61,69718.92,69552.0,59973.14
62,69552.0,69552.0,59973.14
63,69552.0,69552.0,59973.14
64,69803.3,69552.0,59973.14
65,69667.1,69552.0,59973.14
66,69552.0,69552.0,59973.14
67,69552.0,69552.0,59973.14
68,69552.0,69552.0,59973.14
69,69642.74,69552.0,59973.14
70,69552.0,69552.0,59973.14
71,69552.0,69552.0,59973.14
72,71320.0,69552.0,59973.14
73,69582.5,69552.0,59973.14
74,69552.0,69552.0,59973.14
75,69552.0,69552.0,59973.14
76,69552.0,69552.0,59973.14
77,69552.0,69552.0,59973.14
78,69552.0,69552.0,59973.14
79,67398.18,69552.0,59973.14
80,69552.0,69552.0,59973.14
81,69552.0,69552.0,59973.14
82,69552.0,69552.0,59973.14
83,69552.0,69552.0,59973.14
84,69552.0,69552.0,59973.14
85,69552.0,69552.0,59973.14
86,69552.0,69552.0,59973.14
87,69552.0,69552.0,59973.14
88,69552.0,69552.0,59973.14
89,69552.0,69552.0,59973.14
90,69552.0,69552.0,59973.14
91,69552.0,69552.0,59973.14
92,69552.0,69552.0,59973.14
93,69552.0,69552.0,59973.14
94,69552.0,69552.0,59973.14
95,69552.0,69552.0,59973.14
96,69552.0,69552.0,59973.14
97,69552.0,69552.0,59973.14
98,69552.0,69552.0,59973.14
99,69552.0,69552.0,59973.14
100,69525.2,69552.0,59973.14
101,69552.0,69552.0,59973.14
102,69753.92,69552.0,59973.14
103,69552.0,69552.0,59973.14
