Epoch,Cost,Baseline,Best
0,64613.96,69552.0,64613.96
1,100000.0,100000.0,64613.96
2,100000.0,100000.0,64613.96
3,100000.0,100000.0,64613.96
4,115965.0,100000.0,64613.96
5,100000.0,100000.0,64613.96
6,100000.0,100000.0,64613.96
7,100000.0,100000.0,64613.96
8,100000.0,100000.0,64613.96
9,100000.0,100000.0,64613.96
10,100000.0,100000.0,64613.96
11,100000.0,100000.0,64613.96
12,100339.48,100000.0,64613.96
13,100036.9,100000.0,64613.96
14,100000.0,100000.0,64613.96
15,100000.0,100000.0,64613.96
16,100000.0,100000.0,64613.96
17,100000.0,100000.0,64613.96
18,100000.0,100000.0,64613.96
19,100000.0,100000.0,64613.96
20,100000.0,100000.0,64613.96
21,101749.06,100000.0,64613.96
22,100280.44,100000.0,64613.96
23,100000.0,100000.0,64613.96
24,100000.0,100000.0,64613.96
25,100000.0,100000.0,64613.96
26,100000.0,100000.0,64613.96
27,100000.0,100000.0,64613.96
28,100000.0,100000.0,64613.96
29,100000.0,100000.0,64613.96
30,100000.0,100000.0,64613.96
31,100000.0,100000.0,64613.96
32,100000.0,100000.0,64613.96
33,100000.0,100000.0,64613.96
34,101011.06,100000.0,64613.96
35,100000.0,100000.0,64613.96
36,100000.0,100000.0,64613.96
37,100000.0,100000.0,64613.96
38,100000.0,100000.0,64613.96
39,100000.0,100000.0,64613.96
40,100000.0,100000.0,64613.96
41,100000.0,100000.0,64613.96
42,100000.0,100000.0,64613.96
43,100000.0,100000.0,64613.96
44,100000.0,100000.0,64613.96
45,100000.0,100000.0,64613.96
46,100000.0,100000.0,64613.96
47,100000.0,100000.0,64613.96
48,100000.0,100000.0,64613.96
49,100000.0,100000.0,64613.96
50,100000.0,100000.0,64613.96
51,100000.0,100000.0,64613.96
52,100000.0,100000.0,64613.96
53,100000.0,100000.0,64613.96
54,100000.0,100000.0,64613.96
55,100000.0,100000.0,64613.96
56,100000.0,100000.0,64613.96
57,100000.0,100000.0,64613.96
58,100000.0,100000.0,64613.96
59,149303.0,100000.0,64613.96
60,100000.0,100000.0,64613.96
61,100000.0,100000.0,64613.96
62,100000.0,100000.0,64613.96
63,100000.0,100000.0,64613.96
64,100309.96,100000.0,64613.96
65,100000.0,100000.0,64613.96
66,100000.0,100000.0,64613.96
67,100929.88,100000.0,64613.96
68,100250.92,100000.0,64613.96
69,100000.0,100000.0,64613.96
70,100000.0,100000.0,64613.96
71,100000.0,100000.0,64613.96
72,100487.08,100000.0,64613.96
73,100000.0,100000.0,64613.96
74,100487.08,100000.0,64613.96
75,100619.92,100000.0,64613.96
76,101483.38,100000.0,64613.96
77,100701.1,100000.0,64613.96
78,100000.0,100000.0,64613.96
79,100405.9,100000.0,64613.96
80,100000.0,100000.0,64613.96
81,100000.0,100000.0,64613.96
82,100715.86,100000.0,64613.96
83,100560.88,100000.0,64613.96
84,100000.0,100000.0,64613.96
85,100000.0,100000.0,64613.96
86,100295.2,100000.0,64613.96
87,100000.0,100000.0,64613.96
88,100000.0,100000.0,64613.96
89,100516.6,100000.0,64613.96
90,100000.0,100000.0,64613.96
91,100000.0,100000.0,64613.96
92,100000.0,100000.0,64613.96
93,100000.0,100000.0,64613.96
94,100000.0,100000.0,64613.96
95,100000.0,100000.0,64613.96
96,100000.0,100000.0,64613.96
97,100000.0,100000.0,64613.96
98,100000.0,100000.0,64613.96
99,100000.0,100000.0,64613.96
100,100000.0,100000.0,64613.96
101,100000.0,100000.0,64613.96
