Epoch,Cost,Baseline,Best
0,5049.064,9907.0,5049.064
1,5738.32,5810.0,5049.064
2,5320.088,5810.0,5049.064
3,5810.0,5810.0,5049.064
4,5706.704,5810.0,5049.064
5,5828.952,5810.0,5049.064
6,5814.312,5810.0,5049.064
7,5810.0,5810.0,5049.064
8,5828.696,5810.0,5049.064
9,5762.16,5810.0,5049.064
10,5768.08,5810.0,5049.064
11,5787.696,5810.0,5049.064
12,5810.08,5810.0,5049.064
13,5412.392,5810.0,5049.064
14,5338.096,5810.0,5049.064
15,5103.8,5810.0,5049.064
16,5684.56,5810.0,5049.064
17,5545.136,5810.0,5049.064
18,5104.912,5810.0,5049.064
19,5491.544,5810.0,5049.064
20,5227.016,5810.0,5049.064
21,5026.424,5810.0,5026.424
22,5258.768,3944.176,5026.424
23,5476.384,5810.0,5026.424
24,5922.08,5810.0,5026.424
25,5861.424,5810.0,5026.424
26,5574.72,5810.0,5026.424
27,5616.04,5810.0,5026.424
28,5952.112,5810.0,5026.424
29,5857.48,5810.0,5026.424
30,5891.088,5810.0,5026.424
31,5092.0,5810.0,5026.424
32,5640.776,5810.0,5026.424
33,6160.696,5810.0,5026.424
34,5668.312,5810.0,5026.424
35,5481.696,5810.0,5026.424
36,5182.464,5810.0,5026.424
37,5950.0,5810.0,5026.424
38,5902.0,5810.0,5026.424
39,5951.0,5810.0,5026.424
40,5609.0,5810.0,5026.424
41,6072.0,5810.0,5026.424
42,5808.0,5810.0,5026.424
43,6103.0,5810.0,5026.424
44,5777.0,5810.0,5026.424
45,5848.0,5810.0,5026.424
46,5802.0,5810.0,5026.424
47,5683.0,5810.0,5026.424
48,6064.544,5810.0,5026.424
49,5540.936,5810.0,5026.424
50,5336.464,5810.0,5026.424
51,5589.0,5810.0,5026.424
52,5805.0,5810.0,5026.424
53,5357.776,5810.0,5026.424
54,5889.0,5810.0,5026.424
55,5737.0,5810.0,5026.424
56,5202.0,5810.0,5026.424
57,5780.0,5810.0,5026.424
58,5367.0,5810.0,5026.424
59,5691.616,5810.0,5026.424
60,5287.312,5810.0,5026.424
61,5888.776,5810.0,5026.424
62,5120.776,5810.0,5026.424
63,5284.0,5810.0,5026.424
64,5323.0,5810.0,5026.424
65,5601.696,5810.0,5026.424
66,5742.232,5810.0,5026.424
67,5824.0,5810.0,5026.424
68,5621.0,5810.0,5026.424
69,5806.928,5810.0,5026.424
70,5799.0,5810.0,5026.424
71,5604.0,5810.0,5026.424
72,5778.0,5810.0,5026.424
73,5636.16,5810.0,5026.424
74,5550.0,5810.0,5026.424
75,5779.0,5810.0,5026.424
76,5786.0,5810.0,5026.424
77,6096.696,5810.0,5026.424
78,5659.24,5810.0,5026.424
79,5178.928,5810.0,5026.424
80,5756.856,5810.0,5026.424
81,5819.696,5810.0,5026.424
82,5800.0,5810.0,5026.424
83,5409.32,5810.0,5026.424
84,5783.696,5810.0,5026.424
85,5817.464,5810.0,5026.424
86,5914.776,5810.0,5026.424
87,5810.0,5810.0,5026.424
88,6323.392,5810.0,5026.424
89,5370.0,5810.0,5026.424
90,5810.0,5810.0,5026.424
91,5805.928,5810.0,5026.424
92,5724.0,5810.0,5026.424
93,5919.312,5810.0,5026.424
94,6024.464,5810.0,5026.424
95,5669.0,5810.0,5026.424
96,5810.0,5810.0,5026.424
97,5717.696,5810.0,5026.424
98,5810.0,5810.0,5026.424
99,5724.544,5810.0,5026.424
100,5793.0,5810.0,5026.424
101,5753.0,5810.0,5026.424
102,5802.0,5810.0,5026.424
103,5810.0,5810.0,5026.424
104,5810.0,5810.0,5026.424
105,5353.0,5810.0,5026.424
106,5810.0,5810.0,5026.424
107,5810.0,5810.0,5026.424
108,5810.0,5810.0,5026.424
109,5794.0,5810.0,5026.424
110,6042.0,5810.0,5026.424
111,5810.0,5810.0,5026.424
112,5713.0,5810.0,5026.424
113,5625.0,5810.0,5026.424
114,5733.0,5810.0,5026.424
115,5793.0,5810.0,5026.424
116,5860.0,5810.0,5026.424
117,5999.464,5810.0,5026.424
118,5800.0,5810.0,5026.424
119,5768.0,5810.0,5026.424
120,5715.0,5810.0,5026.424
121,5937.0,5810.0,5026.424
