Epoch,Cost,Baseline,Best
0,440938.7368,336086.5176,440938.7368
1,272491.4308,336086.5176,272491.4308
2,131571.172,100000.0,131571.172
3,100000.0,100000.0,100000.0
4,101084.92,100000.0,100000.0
5,100000.0,100000.0,100000.0
6,100000.0,100000.0,100000.0
7,100000.0,100000.0,100000.0
8,100000.0,100000.0,100000.0
9,100000.0,100000.0,100000.0
10,100000.0,100000.0,100000.0
11,101084.92,100000.0,100000.0
12,100000.0,100000.0,100000.0
13,100000.0,100000.0,100000.0
14,100000.0,100000.0,100000.0
15,100000.0,100000.0,100000.0
16,100000.0,100000.0,100000.0
17,100000.0,100000.0,100000.0
18,100000.0,100000.0,100000.0
19,100000.0,100000.0,100000.0
20,100000.0,100000.0,100000.0
21,100000.0,100000.0,100000.0
22,100000.0,100000.0,100000.0
23,100000.0,100000.0,100000.0
24,100000.0,100000.0,100000.0
25,100000.0,100000.0,100000.0
26,100000.0,100000.0,100000.0
27,100000.0,100000.0,100000.0
28,100000.0,100000.0,100000.0
29,100000.0,100000.0,100000.0
30,100000.0,100000.0,100000.0
31,100000.0,100000.0,100000.0
32,100000.0,100000.0,100000.0
33,1282671.0,100000.0,100000.0
34,100000.0,100000.0,100000.0
35,100000.0,100000.0,100000.0
36,100000.0,100000.0,100000.0
37,100000.0,100000.0,100000.0
38,100000.0,100000.0,100000.0
39,100000.0,100000.0,100000.0
40,100000.0,100000.0,100000.0
41,100000.0,100000.0,100000.0
42,100000.0,100000.0,100000.0
43,100000.0,100000.0,100000.0
44,100000.0,100000.0,100000.0
45,100000.0,100000.0,100000.0
46,100000.0,100000.0,100000.0
47,100000.0,100000.0,100000.0
48,100000.0,100000.0,100000.0
49,100000.0,100000.0,100000.0
50,100000.0,100000.0,100000.0
51,100000.0,100000.0,100000.0
52,100000.0,100000.0,100000.0
53,101084.92,100000.0,100000.0
54,101084.92,100000.0,100000.0
55,100000.0,100000.0,100000.0
56,104849.5924,100000.0,100000.0
57,100000.0,100000.0,100000.0
58,100000.0,100000.0,100000.0
59,102169.84,100000.0,100000.0
60,100000.0,100000.0,100000.0
61,100000.0,100000.0,100000.0
62,100000.0,100000.0,100000.0
63,100000.0,100000.0,100000.0
64,100000.0,100000.0,100000.0
65,100000.0,100000.0,100000.0
66,100000.0,100000.0,100000.0
67,100000.0,100000.0,100000.0
68,100000.0,100000.0,100000.0
69,100000.0,100000.0,100000.0
70,100000.0,100000.0,100000.0
71,100000.0,100000.0,100000.0
72,100000.0,100000.0,100000.0
73,100000.0,100000.0,100000.0
74,100000.0,100000.0,100000.0
75,100000.0,100000.0,100000.0
76,100000.0,100000.0,100000.0
77,100000.0,100000.0,100000.0
78,101084.92,100000.0,100000.0
79,100000.0,100000.0,100000.0
80,100000.0,100000.0,100000.0
81,100000.0,100000.0,100000.0
82,100000.0,100000.0,100000.0
83,100000.0,100000.0,100000.0
84,100000.0,100000.0,100000.0
85,100000.0,100000.0,100000.0
86,100000.0,100000.0,100000.0
87,100000.0,100000.0,100000.0
88,100000.0,100000.0,100000.0
89,102169.84,100000.0,100000.0
90,102430.2208,100000.0,100000.0
91,100000.0,100000.0,100000.0
92,100000.0,100000.0,100000.0
93,100000.0,100000.0,100000.0
94,100000.0,100000.0,100000.0
95,100000.0,100000.0,100000.0
96,100000.0,100000.0,100000.0
97,100000.0,100000.0,100000.0
98,100000.0,100000.0,100000.0
99,102169.84,100000.0,100000.0
100,100000.0,100000.0,100000.0
101,103070.3236,100000.0,100000.0
102,100000.0,100000.0,100000.0
103,100000.0,100000.0,100000.0
